receiver_id,sender_id,num_events,num_selected_receiver_loc,num_selected_local_continue,num_selected_teacher_guided,num_selected_same_origin_merge,rollback_rate,local_continue_accept_rate,teacher_guided_accept_rate,same_origin_merge_accept_rate,mean_best_alpha,mean_selected_val_loss,mean_delta_local_continue_vs_loc,mean_delta_teacher_guided_vs_loc,mean_delta_teacher_guided_vs_local_continue,mean_delta_same_origin_merge_vs_loc,mean_delta_same_origin_merge_vs_local_continue,mean_delta_same_origin_merge_vs_teacher_guided,mean_teacher_better_ratio_avg,mean_teacher_worse_ratio_avg,mean_positive_active_ratio_avg,mean_repulsion_active_ratio_avg,mean_positive_loss_avg,mean_repulsion_loss_avg
2,7,3,2,0,0,1,0.6666666666666666,0.0,0.0,0.3333333333333333,0.2333333333333333,0.0019148356403020249,-8.985787733784861e-05,0.00010076040270812952,0.00019061828004597812,-0.00011568017126740342,-2.582229392955481e-05,-0.00021644057397553294,0.5430822869141897,0.4569177031517029,0.5381826559702555,0.45183377464612323,0.00032337657789647086,0.001440654344554919
2,8,3,3,0,0,0,1.0,0.0,0.0,0.0,0.5333333333333333,0.0018674636236277282,0.00010747527971130746,6.988399074393406e-05,-3.7591288967373406e-05,5.957256455746139e-05,-4.7902715153846065e-05,-1.0311426186472659e-05,0.4854421615600586,0.5145578384399414,0.4799409608046214,0.5088350077470144,0.000290919005846514,0.0015336333786306227
3,1,3,2,0,0,1,0.6666666666666666,0.0,0.0,0.3333333333333333,0.8833333333333333,0.0022612424578928973,0.000270196845897542,7.586548841248426e-05,-0.00019433135748505776,7.089143771302165e-05,-0.00019930540818452035,-4.974050699462606e-06,0.6396167079607645,0.3603832920392354,0.6343371272087097,0.35472946365674335,0.0002450540366288793,0.0016225336093072752
3,2,3,1,0,0,2,0.3333333333333333,0.0,0.0,0.6666666666666666,0.5833333333333334,0.0022781581993968456,0.00033673948771214553,0.00025016928128074843,-8.657020643139709e-05,5.160815745163435e-05,-0.00028513133026051115,-0.00019856112382911408,0.6312521696090698,0.36874784032503766,0.6259307662645975,0.3634207844734192,0.0002741704686276782,0.0016148708854269367
3,4,3,2,0,0,1,0.6666666666666666,0.0,0.0,0.3333333333333333,0.48333333333333334,0.0022903429728102867,0.00013082001388147087,7.103612875493338e-05,-5.978388512653749e-05,1.7940714236389793e-06,-0.0001290259424578319,-6.92420573312944e-05,0.5888834396998087,0.4111165603001912,0.58349080880483,0.405684361855189,0.00031108773060749354,0.001528595803978876
3,5,3,3,0,0,0,1.0,0.0,0.0,0.0,0.6666666666666666,0.002261942591381918,0.0001562602893909696,0.0001361563453167344,-2.0103944074235214e-05,7.130402923689536e-05,-8.495626015407425e-05,-6.485231607983903e-05,0.6525435845057169,0.3474564452966054,0.6477604309717814,0.34290284911791485,0.0002515727207976243,0.001491388069768832
3,6,3,2,0,0,1,0.6666666666666666,0.0,0.0,0.3333333333333333,0.5833333333333334,0.0023166342362277038,2.1851849640361933e-05,-2.5374127479173222e-05,-4.7225977119535155e-05,-6.007792752427725e-05,-8.192977716463918e-05,-3.470380004510403e-05,0.5179915030797323,0.48200849692026776,0.5119656622409821,0.476138710975647,0.000320610504468639,0.001556551361678601
3,7,3,2,0,0,1,0.6666666666666666,0.0,0.0,0.3333333333333333,0.4833333333333334,0.002261942591381918,0.00014347562876244703,0.00014231216461594722,-1.1634641464997968e-06,1.3275104960303851e-05,-0.00013020052380214317,-0.00012903705965564339,0.5867692232131958,0.4132307668526967,0.5809491475423177,0.4071890910466512,0.00021419314454435836,0.0015846658373515627
3,8,2,2,0,0,0,1.0,0.0,0.0,0.0,0.525,0.002264269056344468,0.00012320190710507994,8.795408750422273e-05,-3.5247819600857204e-05,2.431892528518783e-05,-9.88829818198921e-05,-6.36351622190349e-05,0.5505794286727905,0.44942060112953186,0.5441085696220398,0.44312113523483276,0.00024962600628247625,0.0016434128294186548
4,1,3,3,0,0,0,1.0,0.0,0.0,0.0,0.6166666666666667,0.00289748997903461,0.0003306246298137544,0.00014618719076175493,-0.00018443743905199945,9.649850719481536e-05,-0.00023412612261893904,-4.9688683566939586e-05,0.5768415133158366,0.4231584966182709,0.5716252525647482,0.4180350104967753,0.0003123484505669404,0.0016091956064223868
4,2,3,2,0,0,1,0.6666666666666666,0.0,0.0,0.3333333333333333,0.5499999999999999,0.002885817581294908,0.0003718347184413406,0.00015585160338406982,-0.00021598311505727075,2.092195494624808e-05,-0.0003509127634950925,-0.00013492964843782174,0.5167844990889231,0.4832155108451843,0.5111385881900787,0.47754016518592834,0.0003420546719189545,0.0016744330935873793
4,3,3,1,0,0,2,0.3333333333333333,0.0,0.0,0.6666666666666666,0.26666666666666666,0.0029101747185150775,5.5560650253202774e-05,6.171198745454683e-05,6.151337201344062e-06,-4.26225587432536e-05,-9.818320899645638e-05,-0.00010433454619780044,0.5129987100760142,0.48700129985809326,0.5078039765357971,0.48235495885213214,0.000432710257687933,0.001607998558123083
4,5,3,2,0,0,1,0.6666666666666666,0.0,0.0,0.3333333333333333,0.48333333333333334,0.002957651450544231,8.845959217186024e-05,7.684592046258247e-05,-1.1613671709277771e-05,-2.2405853193199186e-05,-0.00011086544536505942,-9.925177365578165e-05,0.5572062134742737,0.4427937964598338,0.5520928502082825,0.4375278155008952,0.00032466925481014594,0.0015534943205406338
4,6,3,1,1,0,1,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.4166666666666667,0.00289748997903461,9.544710419285235e-05,0.0003608648394574231,0.00026541773526457074,-1.080573927797884e-06,-9.652767812065024e-05,-0.000361945413385221,0.42753879229227704,0.5724612375100454,0.4224175214767456,0.5673953592777252,0.00041518105268837464,0.0016231283268313159
4,7,2,2,0,0,0,1.0,0.0,0.0,0.0,0.55,0.0029022221072272933,0.00014043916588282073,8.515481255084241e-05,-5.528435333197832e-05,1.0356613516348395e-05,-0.00013008255236647234,-7.479819903449402e-05,0.38325604796409607,0.6167439520359039,0.37717369198799133,0.6112110912799835,0.00043656227929487004,0.0016702094546488214
4,8,3,2,0,0,1,0.6666666666666666,0.0,0.0,0.3333333333333333,0.18333333333333335,0.0029056888138290944,4.3752785782927784e-05,0.0003359835738734271,0.00029223078809049937,2.0388481127064782e-05,-2.3364304655863002e-05,-0.00031559509274636235,0.4197895924250285,0.5802104274431864,0.414257953564326,0.5750314990679423,0.0004076537759819759,0.0015941346172564678
5,1,3,3,0,0,0,1.0,0.0,0.0,0.0,0.35000000000000003,0.0025797470073963737,0.0001858836748237339,0.00027561134023157337,8.972766540783945e-05,3.447561476970371e-05,-0.0001514080600540302,-0.00024113572546186966,0.5601099729537964,0.4398900369803111,0.5546698570251465,0.43449173370997113,0.0002981170172740174,0.0017142711112349874
5,2,3,1,0,0,2,0.3333333333333333,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0025797470073963737,0.00010338527320417163,0.0003055198581458312,0.00020213458494165956,-1.043820035706028e-05,-0.00011382347356123192,-0.00031595805850289147,0.5362314184506735,0.4637685716152191,0.530698557694753,0.4586789707342784,0.00035146738708624283,0.0017014861328267501
5,3,3,1,0,0,2,0.3333333333333333,0.0,0.0,0.6666666666666666,0.35000000000000003,0.0025723278472300237,0.0002907397479761595,0.000187400225509426,-0.00010333952246673354,-4.655906636507878e-06,-0.0002953956546126674,-0.00019205613214593386,0.5436524351437887,0.4563475747903188,0.5381828745206197,0.4507785936196645,0.000311828368870403,0.0016089146149261251
5,4,3,0,0,0,3,0.0,0.0,0.0,1.0,0.4833333333333334,0.0025944841588303844,-5.968924604538827e-05,-6.394984546365127e-05,-4.260599418262998e-06,-0.0001306904613962654,-7.100121535087711e-05,-6.674061593261412e-05,0.5071952839692434,0.49280470609664917,0.5017789403597513,0.48746182521184284,0.00041737101135814184,0.001518290409956318
5,6,2,0,0,0,2,0.0,0.0,0.0,1.0,0.7,0.0025622803406249086,7.64025226505261e-05,-1.5859107869905728e-05,-9.226163052043182e-05,-3.323740573130617e-05,-0.00010963992838183226,-1.7378297861400443e-05,0.4590107202529907,0.540977418422699,0.453632190823555,0.535670131444931,0.000402769507710782,0.0017064981637993969
5,7,3,3,0,0,0,1.0,0.0,0.0,0.0,0.26666666666666666,0.0025797470073963737,5.9106912939781674e-05,0.00014548538923397003,8.637847629418835e-05,1.3681880119125923e-05,-4.542503282065575e-05,-0.0001318035091148441,0.4684195915857951,0.5315724809964498,0.46272842089335126,0.5264727671941122,0.00035137637483692927,0.0016415826386701375
5,8,3,3,0,0,0,1.0,0.0,0.0,0.0,0.20000000000000004,0.0025723278472300237,6.981770083406404e-05,0.00027517338066748416,0.0002053556798334201,5.6933508806422964e-05,-1.2884192027641083e-05,-0.0002182398718610612,0.45361191034317017,0.5463880995909373,0.44832442204157513,0.5412272612253824,0.0004090324158717118,0.001630955771834334
6,1,3,3,0,0,0,1.0,0.0,0.0,0.0,0.7166666666666667,0.0027665607110379568,0.0004630053464462328,0.00023966862033174014,-0.00022333672611449265,0.00019269234949031454,-0.00027031299695591825,-4.697627084142561e-05,0.611232062180837,0.38876792788505554,0.6054617365201315,0.3835415244102478,0.00024091289116149703,0.001642592804147312
6,2,3,1,0,0,2,0.3333333333333333,0.0,0.0,0.6666666666666666,0.6333333333333334,0.002705736049849306,0.00027892100915461945,0.00034054676585976753,6.162575670514809e-05,-5.249366077110026e-06,-0.00028417037523172946,-0.0003457961319368776,0.5758240620295206,0.4241759578386943,0.5703263084093729,0.4186522265275319,0.0002739956839911479,0.001619491448517416
6,3,3,2,0,1,0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.7833333333333333,0.002806606602712406,0.00020321158025814567,-6.699848039809556e-05,-0.0002702100606562412,-9.905785318585086e-05,-0.00030226943344399654,-3.2059372787755315e-05,0.6007127165794373,0.39928730328877765,0.594797690709432,0.39332478245099384,0.0002427963985540671,0.0015450030130367241
6,4,3,1,0,0,2,0.3333333333333333,0.0,0.0,0.6666666666666666,0.4833333333333334,0.002728672256435109,0.00013686199864795714,3.4545490890312606e-05,-0.00010231650775764454,-1.695189037891831e-05,-0.00015381388902687546,-5.1497381269230914e-05,0.6212076942125956,0.37879227598508197,0.6156906684239706,0.37357603510220844,0.00022583248578750804,0.0015752536267947812
6,5,2,1,0,0,1,0.5,0.0,0.0,0.5,0.575,0.002698807808459488,8.088893700447172e-05,0.00021149169280034862,0.0001306027557958769,1.8630107594687882e-05,-6.225882940978384e-05,-0.00019286158520566074,0.6135963499546051,0.3863917738199234,0.6089895963668823,0.38221244513988495,0.00027704929401500735,0.0013810734770427213
6,7,3,2,0,0,1,0.6666666666666666,0.0,0.0,0.3333333333333333,0.2833333333333333,0.0026968598169501783,0.00011921418541341177,0.0001446154778229898,2.5401292409578016e-05,7.42189558981863e-05,-4.4995229515225475e-05,-7.039652192480349e-05,0.5507610539595286,0.44923893610636395,0.5444502631823221,0.4429303705692291,0.00022079325439535312,0.0016234748152886794
6,8,3,2,0,1,0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0027665607110379568,0.0004432843449098804,1.2883282501755921e-05,-0.0004304010624081245,-5.366036793287305e-06,-0.0004486503817031677,-1.8249319295043226e-05,0.4546197752157847,0.5453802148501078,0.44879405697186786,0.5402646164099375,0.00039270274779886334,0.0014654328270373746
7,1,3,0,0,0,3,0.0,0.0,0.0,1.0,0.5333333333333333,0.002429495372129937,5.825413241984266e-05,0.00012451704927927878,6.626291685943612e-05,-2.9616264021646518e-05,-8.787039644148917e-05,-0.0001541333133009253,0.5993417104085287,0.4006582995255788,0.5939626892407736,0.39579824606577557,0.0002555943948159545,0.0016032009346137377
7,2,3,2,0,0,1,0.6666666666666666,0.0,0.0,0.3333333333333333,0.5833333333333334,0.002459111636151584,5.569041525054549e-05,0.00014813289847768278,9.244248322713728e-05,-9.000091368560311e-05,-0.0001456913289361486,-0.0002381338121632859,0.509466419617335,0.49053359031677246,0.5036621987819672,0.4854044020175934,0.0003430127338743722,0.0015717947935619517
7,3,3,1,0,0,2,0.3333333333333333,0.0,0.0,0.6666666666666666,0.35000000000000003,0.002417286918825042,2.045969609461874e-05,0.00015150613224409448,0.00013104643614947573,7.107684724963481e-06,-1.3352011369655257e-05,-0.000144398447519131,0.596657395362854,0.4033426145712535,0.5908395648002625,0.3977261384328206,0.00020914706895280204,0.0016512491345738057
7,4,2,1,0,0,1,0.5,0.0,0.0,0.5,0.625,0.002413317662719787,0.00031513960706892213,0.00010303716258408774,-0.0002121024444848344,3.170943356542227e-06,-0.0003119686637123799,-9.986621922754551e-05,0.583430141210556,0.4165698438882828,0.5783213675022125,0.4115356504917145,0.0002921083473224526,0.0016011308710329902
7,5,3,2,1,0,0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.3166666666666667,0.002429399043581948,4.035407257637659e-05,0.00012429948850863534,8.394541593225874e-05,6.1453122262614184e-06,-3.4208760350115174e-05,-0.00011815417628237392,0.6343783338864645,0.3656216661135356,0.6294447978337606,0.36118681232134503,0.00025444871662847087,0.0015128778544896855
7,6,3,2,0,0,1,0.6666666666666666,0.0,0.0,0.3333333333333333,0.45,0.0024111544708418403,0.00037649285872097207,0.0003518742497167185,-2.4618609004253545e-05,8.074819023996093e-05,-0.0002957446684810111,-0.00027112605947675756,0.45904632409413654,0.5409536759058634,0.45265981554985046,0.5351279377937317,0.00027598046666604993,0.0016756660838441238
7,8,3,2,0,0,1,0.6666666666666666,0.0,0.0,0.3333333333333333,0.3,0.0024137221670798375,7.578612435750881e-05,0.00023268481166659194,0.00015689868730908314,1.2287797629659375e-05,-6.349832672784943e-05,-0.00022039701403693256,0.5351813236872355,0.46481866637865704,0.5292188127835592,0.45896127820014954,0.0002335458786836474,0.0016617155284765802
8,1,3,2,1,0,0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.2333333333333333,0.0024057055509564083,-9.216023354958432e-05,0.00015108383588384702,0.00024324406943343133,-0.00016961376062871774,-7.745352707913342e-05,-0.00032069759651256476,0.634030262629191,0.3659697473049164,0.6289089918136597,0.36114927132924396,0.0003236448380657612,0.0014831390786772894
8,2,3,2,1,0,0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.45,0.002211727478161589,2.359547125966637e-05,4.247810465749522e-05,1.8882633397828846e-05,7.318989909017397e-06,-1.6276481350648974e-05,-3.515911474847782e-05,0.575377345085144,0.4246226449807485,0.5697020093599955,0.41913726925849915,0.0002852792705552742,0.0016100300893960157
8,3,2,2,0,0,0,1.0,0.0,0.0,0.0,0.9,0.002196109540183422,0.0004765266860014743,4.033488972100753e-05,-0.00043619179628046675,2.082128729322748e-05,-0.0004557053987082468,-1.9513602427780052e-05,0.6378125846385956,0.36217552423477173,0.6319406032562256,0.35634584724903107,0.00021098159397540126,0.0016432855246988217
8,4,3,1,0,0,2,0.3333333333333333,0.0,0.0,0.6666666666666666,0.31666666666666665,0.0022328581543192972,7.556210224235688e-05,0.0002690345901008279,0.00019347248785847102,3.6106923305420993e-06,-7.195140991181478e-05,-0.0002654238977702858,0.6331031322479248,0.3668968578179677,0.627554456392924,0.36147480209668476,0.0002888782917652302,0.0015162218874376163
8,5,3,2,0,0,1,0.6666666666666666,0.0,0.0,0.3333333333333333,0.5166666666666667,0.0021910800141613195,0.00013148164540624103,7.00279962773543e-05,-6.145364912888672e-05,7.2861542723401396e-06,-0.0001241954911339009,-6.274184200501416e-05,0.6403956810633341,0.3596043388048808,0.6360422174135844,0.35521920522054035,0.000276008818076126,0.0013628900884342186
8,6,3,2,0,0,1,0.6666666666666666,0.0,0.0,0.3333333333333333,0.6666666666666666,0.002241540584251044,7.097246947910449e-05,-6.259192035336341e-05,-0.0001335643898324679,-8.467246730143631e-05,-0.00015564493678054078,-2.20805469480729e-05,0.6014657020568848,0.3985343078772227,0.5958536863327026,0.39341304699579877,0.00030966758452896886,0.001512705582647846
8,7,3,2,0,0,1,0.6666666666666666,0.0,0.0,0.3333333333333333,0.4333333333333333,0.0021993776013634315,0.00015636381997250807,0.00012497864997067202,-3.138517000183605e-05,1.8153203951741553e-05,-0.00013821061602076654,-0.00010682544601893047,0.5897518992424011,0.4102481007575989,0.5836966236432394,0.40419058005015057,0.00023342385969968724,0.0015813146162289547
