round,global_round,pair_index,pair_id,direction,receiver_id,sender_id,selected_sender_id,selected_model,receiver_local_update_executed,receiver_local_train_loss,receiver_local_val_loss,sender_local_train_loss,sender_local_val_loss,val_loss_receiver_loc,val_loss_local_continue,val_loss_teacher_guided,val_loss_same_origin_merge,selected_val_loss,best_alpha,delta_local_continue_vs_loc,delta_teacher_guided_vs_loc,delta_teacher_guided_vs_local_continue,delta_same_origin_merge_vs_loc,delta_same_origin_merge_vs_local_continue,delta_same_origin_merge_vs_teacher_guided,rollback_to_local,accept_local_continue,accept_teacher_guided,accept_same_origin_merge,teacher_guided_teacher_better_ratio_avg,teacher_guided_teacher_worse_ratio_avg,teacher_guided_positive_active_ratio_avg,teacher_guided_repulsion_active_ratio_avg,teacher_guided_positive_loss_avg,teacher_guided_repulsion_loss_avg,teacher_guided_total_loss_avg,local_continue_pred_loss_avg,local_continue_total_loss_avg,local_continue_num_batches,teacher_guided_pred_loss_avg,teacher_guided_teacher_better_ratio_min,teacher_guided_teacher_better_ratio_max,teacher_guided_teacher_better_ratio_std,teacher_guided_teacher_worse_ratio_min,teacher_guided_teacher_worse_ratio_max,teacher_guided_teacher_worse_ratio_std,teacher_guided_positive_active_ratio_min,teacher_guided_positive_active_ratio_max,teacher_guided_positive_active_ratio_std,teacher_guided_repulsion_active_ratio_min,teacher_guided_repulsion_active_ratio_max,teacher_guided_repulsion_active_ratio_std,teacher_guided_positive_weight_mean_avg,teacher_guided_negative_weight_mean_avg,teacher_guided_num_batches,idle_client_ids
2,2,2,8-6,Client6 -> Client8,8,6,6,same_origin_merge,,,,,,0.002824897572502381,0.002725050307101136,0.0023339759813833607,0.0023324026723862885,0.0023324026723862885,0.95,-9.984726540124495e-05,-0.0004909215911190201,-0.00039107432571777517,-0.0004924949001160923,-0.0003926476347148474,-1.5733089970722258e-06,False,False,False,True,0.6330268383026123,0.3669731914997101,0.6278501749038696,0.36160653829574585,0.0003078154550634285,0.001472170927053618,0.002511753919841221,0.002457021661520308,0.002457021661520308,329,0.002495158594257468,0.40625,0.90625,0.09297702461481094,0.09375,0.59375,0.09297702461481094,0.3984375,0.90625,0.09466911852359772,0.09375,0.5859375,0.09161052852869034,0.5514028072357178,0.3105466365814209,329,
2,2,2,8-6,Client8 -> Client6,6,8,8,teacher_guided,,,,,,0.003022204191218243,0.003938105288336085,0.002902066516194895,0.002902066516194895,0.002902066516194895,1.0,0.0009159010971178418,-0.00012013767502334818,-0.00103603877214119,-0.00012013767502334818,-0.00103603877214119,0.0,False,False,True,False,0.2991844713687897,0.7008155584335327,0.29445895552635193,0.6971823573112488,0.0007068931864191988,0.0011210339214652821,0.0023524264272521927,0.002346458907060933,0.002346458907060933,329,0.0023256144572828025,0.1328125,0.8359375,0.10534899681806564,0.1640625,0.8671875,0.10534899681806564,0.1171875,0.8359375,0.105365090072155,0.15625,0.859375,0.10538191348314285,0.23726463317871094,0.6490381360054016,329,
2,2,3,2-5,Client5 -> Client2,2,5,5,same_origin_merge,,,,,,0.0020621467310204464,0.002222723721079221,0.002148270078512408,0.001994168025625909,0.001994168025625909,0.55,0.0001605769900587745,8.612334749196144e-05,-7.445364256681306e-05,-6.797870539453727e-05,-0.00022855569545331177,-0.0001541020528864987,False,False,False,True,0.684770405292511,0.315229594707489,0.6807335615158081,0.3116609454154968,0.00030043633769357363,0.0013768157008626233,0.0022113325968039456,0.0022083393565194005,0.0022083393565194005,329,0.0021954354309174553,0.46875,0.9140625,0.08800997585058212,0.0859375,0.53125,0.08800997585058212,0.46875,0.9140625,0.08895490318536758,0.0859375,0.5234375,0.08735311031341553,0.6158732771873474,0.26913365721702576,329,
2,2,3,2-5,Client2 -> Client5,5,2,2,same_origin_merge,,,,,,0.002680723406689006,0.0028338878333491364,0.0028381855105521912,0.0026498189876208124,0.0026498189876208124,0.5,0.0001531644266601303,0.00015746210386318512,4.297677203054812e-06,-3.0904419068193776e-05,-0.00018406884572832408,-0.0001883665229313789,False,False,False,True,0.5001747608184814,0.49982523918151855,0.49518805742263794,0.4951235055923462,0.0004486280746113762,0.0016038527479960408,0.002691423668018443,0.0026559261305842893,0.0026559261305842893,329,0.0026699455617871055,0.28125,0.8515625,0.10816190391778946,0.1484375,0.71875,0.10816190391778946,0.28125,0.84375,0.10891682654619217,0.140625,0.7109375,0.10773051530122757,0.42170533537864685,0.4419611394405365,329,
2,2,4,3-4,Client4 -> Client3,3,4,4,same_origin_merge,,,,,,0.002421364595994176,0.00251111877843383,0.00237014402582315,0.002342490805741925,0.002342490805741925,0.7,8.975418243965414e-05,-5.12205701710261e-05,-0.00014097475261068025,-7.887379025225093e-05,-0.00016862797269190507,-2.7653220081224825e-05,False,False,False,True,0.5306240916252136,0.46937593817710876,0.525257408618927,0.4640975892543793,0.00036827088895090526,0.0014513088358206739,0.0024530872572628287,0.0024198656859692096,0.0024198656859692096,329,0.002434782589180682,0.296875,0.8828125,0.11528217047452927,0.1171875,0.703125,0.11528217047452927,0.2890625,0.8828125,0.1162600964307785,0.1171875,0.703125,0.11477553099393845,0.4445001780986786,0.4112515449523926,329,
2,2,4,3-4,Client3 -> Client4,4,3,3,same_origin_merge,,,,,,0.0030685101371781083,0.0029477207499481717,0.0030545838413743266,0.0029466253903436554,0.0029466253903436554,0.05,-0.00012078938722993654,-1.3926295803781685e-05,0.00010686309142615485,-0.00012188474683445284,-1.0953596045163057e-06,-0.00010795845103067116,False,False,False,True,0.38881543278694153,0.6111845970153809,0.38401198387145996,0.6068627834320068,0.0006540713168662684,0.0015268481778370935,0.002668441786667956,0.0025776768569213478,0.0025776768569213478,329,0.002641185406173212,0.2109375,0.8046875,0.10024511069059372,0.1953125,0.7890625,0.10024511069059372,0.203125,0.8046875,0.10019665956497192,0.1796875,0.7890625,0.10100802779197693,0.3138914108276367,0.556067943572998,329,
3,3,1,1-6,Client6 -> Client1,1,6,6,same_origin_merge,,,,,,0.0018618383051075486,0.001857994130973078,0.0018968365624842968,0.001849765135540077,0.001849765135540077,0.3,-3.844174134470541e-06,3.499825737674823e-05,3.884243151121877e-05,-1.207316956747164e-05,-8.2289954330011e-06,-4.707142694421987e-05,False,False,False,True,0.3584781289100647,0.6415218710899353,0.3535151481628418,0.6367014050483704,0.00042251338840211636,0.0014625759178173658,0.0020889175902404334,0.002040219879722038,0.002040219879722038,329,0.0020689293065678394,0.1796875,0.8671875,0.10497583448886871,0.1328125,0.8203125,0.10497583448886871,0.171875,0.8671875,0.10526371747255325,0.1328125,0.8203125,0.10516154021024704,0.28341370820999146,0.5833806991577148,329,
3,3,1,1-6,Client1 -> Client6,6,1,1,receiver_loc,,,,,,0.002902066516194895,0.003446975438248826,0.003388950031006223,0.003387035186933484,0.002902066516194895,0.85,0.0005449089220539308,0.00048688351481132814,-5.8025407242602665e-05,0.0004849686707385889,-5.994025131534188e-05,-1.9148440727392163e-06,True,False,False,False,0.6380214691162109,0.36197856068611145,0.6319661736488342,0.3567781448364258,0.0002730607244699707,0.0016242306400032834,0.002305774167514046,0.002327611760015122,0.002327611760015122,329,0.0022894611907562194,0.4296875,0.921875,0.0913802906870842,0.078125,0.5703125,0.0913802906870842,0.421875,0.921875,0.0930873453617096,0.078125,0.5625,0.09022717922925949,0.5532642006874084,0.303417831659317,329,
3,3,2,7-5,Client5 -> Client7,7,5,5,local_continue,,,,,,0.0024763352596181344,0.002476046273974168,0.00268661306751749,0.002476046273974168,0.002476046273974168,0.0,-2.8898564396638224e-07,0.00021027780789935552,0.0002105667935433219,-2.8898564396638224e-07,0.0,-0.0002105667935433219,False,True,False,False,0.6682898998260498,0.3317100703716278,0.6634219288825989,0.3278631865978241,0.0003113046632722753,0.0013842373714016084,0.0023301249994194186,0.002290236901156034,0.002290236901156034,329,0.002313864672505502,0.4609375,0.9296875,0.08810737729072571,0.0703125,0.5390625,0.08810737729072571,0.4609375,0.9296875,0.08873379230499268,0.0703125,0.53125,0.0875464677810669,0.600190281867981,0.28567081689834595,329,
3,3,2,7-5,Client7 -> Client5,5,7,7,receiver_loc,,,,,,0.0026498189876208124,0.0026758315013601843,0.0028237608321993327,0.0026758315013601843,0.0026498189876208124,0.0,2.601251373937196e-05,0.00017394184457852034,0.00014792933083914838,2.601251373937196e-05,0.0,-0.00014792933083914838,True,False,False,False,0.47811147570610046,0.5218884944915771,0.47200870513916016,0.5169018507003784,0.00036009132078773274,0.0016232841454618826,0.002633945642435241,0.002596132839482422,0.002596132839482422,329,0.0026150264743467926,0.2734375,0.8359375,0.11217561364173889,0.1640625,0.7265625,0.11217561364173889,0.2734375,0.8359375,0.1119820773601532,0.1640625,0.7109375,0.11182501912117004,0.39223408699035645,0.4604335427284241,329,
