round,direction,receiver_id,selected_sender_id,selected_model,receiver_local_update_executed,receiver_local_train_loss,receiver_local_val_loss,sender_local_train_loss,sender_local_val_loss,val_loss_receiver_loc,val_loss_local_continue,val_loss_teacher_guided,val_loss_same_origin_merge,selected_val_loss,best_alpha,delta_local_continue_vs_loc,delta_teacher_guided_vs_loc,delta_teacher_guided_vs_local_continue,delta_same_origin_merge_vs_loc,delta_same_origin_merge_vs_local_continue,delta_same_origin_merge_vs_teacher_guided,rollback_to_local,accept_local_continue,accept_teacher_guided,accept_same_origin_merge,teacher_guided_teacher_better_ratio_avg,teacher_guided_teacher_worse_ratio_avg,teacher_guided_positive_active_ratio_avg,teacher_guided_repulsion_active_ratio_avg,teacher_guided_positive_loss_avg,teacher_guided_repulsion_loss_avg,teacher_guided_total_loss_avg,sender_id,local_continue_pred_loss_avg,local_continue_total_loss_avg,local_continue_num_batches,teacher_guided_pred_loss_avg,teacher_guided_teacher_better_ratio_min,teacher_guided_teacher_better_ratio_max,teacher_guided_teacher_better_ratio_std,teacher_guided_teacher_worse_ratio_min,teacher_guided_teacher_worse_ratio_max,teacher_guided_teacher_worse_ratio_std,teacher_guided_positive_active_ratio_min,teacher_guided_positive_active_ratio_max,teacher_guided_positive_active_ratio_std,teacher_guided_repulsion_active_ratio_min,teacher_guided_repulsion_active_ratio_max,teacher_guided_repulsion_active_ratio_std,teacher_guided_positive_weight_mean_avg,teacher_guided_negative_weight_mean_avg,teacher_guided_num_batches
11,Client7 -> Client5,5,7,same_origin_merge,False,,0.0006043863196102529,0.0009573633926705841,0.0007335419012150509,0.0006043863196102529,0.0006642176218616727,0.0007746462837586152,0.0006559989838066955,0.0006559989838066955,0.2,5.983130225141974e-05,0.00017025996414836225,0.00011042866189694251,5.161266419644256e-05,-8.218638054977175e-06,-0.00011864729995191968,False,False,False,True,0.3759382665157318,0.6240617632865906,0.37168100476264954,0.6203573346138,0.00030396191623484575,0.0012231872258179535,0.0005929241935070451,7,0.0005749309610690149,0.0005749309610690149,329,0.0005776893993147895,0.25,0.6953125,0.05351409688591957,0.3046875,0.75,0.05351409688591957,0.2421875,0.6953125,0.0533691942691803,0.3046875,0.75,0.053877830505371094,0.3075730800628662,0.5730190277099609,329
12,Client2 -> Client5,5,2,same_origin_merge,False,,0.0006559989838066955,0.0013413590232450752,0.0010274232305229607,0.0006559989838066955,0.0006006571210432362,0.0007410590899911177,0.0006004165802749238,0.0006004165802749238,0.05,-5.534186276345929e-05,8.506010618442223e-05,0.00014040196894788152,-5.5582403531771675e-05,-2.4054076831238336e-07,-0.0001406425097161939,False,False,False,True,0.28299564123153687,0.7170043587684631,0.2805260419845581,0.714154839515686,0.000630009995604204,0.0007741041031421961,0.0006109176873414232,2,0.0005809343571510122,0.0005809343571510122,329,0.0005881468660247441,0.15625,0.421875,0.04443958029150963,0.578125,0.84375,0.04443958029150963,0.15625,0.421875,0.04451382905244827,0.5703125,0.84375,0.044785983860492706,0.24082133173942566,0.6815266013145447,329
13,Client6 -> Client5,5,6,same_origin_merge,False,,0.0006004165802749238,0.0013797535766845593,0.000966764839538188,0.0006004165802749238,0.0007239012060996762,0.000609400960740488,0.0006088410934425388,0.0006088410934425388,0.95,0.00012348462582475236,8.984380465564185e-06,-0.00011450024535918817,8.424513167614995e-06,-0.00011506011265713736,-5.5986729794919e-07,False,False,False,True,0.280648410320282,0.7193515300750732,0.27844002842903137,0.7165257334709167,0.0005390607843771051,0.0008635182829703932,0.0005923855164872252,6,0.0005700670624087511,0.0005700670624087511,329,0.0005718960998621481,0.1640625,0.3984375,0.04755181446671486,0.6015625,0.8359375,0.04755181446671486,0.1640625,0.390625,0.04751744866371155,0.6015625,0.8359375,0.04786733165383339,0.24057532846927643,0.6844462752342224,329
14,Client7 -> Client5,5,7,same_origin_merge,False,,0.0006088410934425388,0.0008833368409865849,0.0007513029543020587,0.0006088410934425388,0.000648407844911785,0.0006097783218439514,0.0005993816279911196,0.0005993816279911196,0.65,3.95667514692462e-05,9.372284014125916e-07,-3.8629523067833607e-05,-9.459465451419234e-06,-4.902621692066543e-05,-1.0396693852831825e-05,False,False,False,True,0.41205623745918274,0.5879437923431396,0.40772774815559387,0.5836219787597656,0.00028057073110052816,0.0013061977927880748,0.0005748717186295577,7,0.0005705257111681755,0.0005705257111681755,329,0.0005599236088654851,0.265625,0.5390625,0.04845622554421425,0.4609375,0.734375,0.04845622554421425,0.265625,0.53125,0.048261262476444244,0.453125,0.7265625,0.048415616154670715,0.34427347779273987,0.5355035066604614,329
15,Client2 -> Client5,5,2,same_origin_merge,False,,0.0005993816279911196,0.0011786168798104356,0.0009408166825054119,0.0005993816279911196,0.0008575429723498336,0.000778215267325129,0.000778215267325129,0.000778215267325129,1.0,0.000258161344358714,0.00017883363933400944,-7.932770502470455e-05,0.00017883363933400944,-7.932770502470455e-05,0.0,False,False,False,True,0.303078830242157,0.696921169757843,0.3000563979148865,0.6938749551773071,0.0005008508944561843,0.0009006279299965905,0.000578108160587198,2,0.0005634696330893597,0.0005634696330893597,329,0.0005585794938454333,0.171875,0.4765625,0.04665970057249069,0.5234375,0.828125,0.04665970057249069,0.171875,0.46875,0.046768441796302795,0.5234375,0.8203125,0.04616592079401016,0.255293071269989,0.6585025787353516,329
16,Client6 -> Client5,5,6,same_origin_merge,False,,0.000778215267325129,0.0013233532037435405,0.0009429631231099258,0.000778215267325129,0.0006273003767606073,0.0005892255481213601,0.000571149754276486,0.000571149754276486,0.65,-0.0001509148905645217,-0.0001889897192037689,-3.80748286392472e-05,-0.00020706551304864305,-5.615062248412136e-05,-1.807579384487416e-05,False,False,False,True,0.2711438536643982,0.7288561463356018,0.26865050196647644,0.7267902493476868,0.0005624994656430377,0.0008113040911813128,0.0005741523911719749,6,0.0005606290024876523,0.0005606290024876523,329,0.0005532208867250963,0.12820513546466827,0.4453125,0.04375377669930458,0.5546875,0.8717948794364929,0.04375377669930458,0.12820513546466827,0.4453125,0.04324591904878616,0.5546875,0.8717948794364929,0.043726373463869095,0.23419597744941711,0.6985883712768555,329
17,Client7 -> Client5,5,7,same_origin_merge,False,,0.000571149754276486,0.0008263667940272357,0.0006758831641348152,0.000571149754276486,0.0006766635680621598,0.0006758632755399481,0.0006655590153967962,0.0006655590153967962,0.5,0.00010551381378567383,0.00010471352126346218,-8.002925222116595e-07,9.440926112031021e-05,-1.1104552665363622e-05,-1.0304260143151962e-05,False,False,False,True,0.4328579008579254,0.567142128944397,0.4280136823654175,0.562243640422821,0.00026917720845050176,0.0013686203345324804,0.0005782172949358254,7,0.0005526482554790404,0.0005526482554790404,329,0.0005632988772115181,0.3046875,0.640625,0.0568774975836277,0.359375,0.6953125,0.0568774975836277,0.296875,0.625,0.056915123015642166,0.359375,0.6875,0.05671856552362442,0.3620990514755249,0.5110365152359009,329
18,Client2 -> Client5,5,2,same_origin_merge,False,,0.0006655590153967962,0.0011004623683898334,0.0011154868154952917,0.0006655590153967962,0.0006739044315914882,0.0006786871031292192,0.0006192444112679807,0.0006192444112679807,0.5,8.34541619469198e-06,1.3128087732423052e-05,4.782671537731072e-06,-4.631460412881543e-05,-5.466002032350741e-05,-5.9442691861238484e-05,False,False,False,True,0.2837792634963989,0.7162207365036011,0.28073975443840027,0.7135374546051025,0.0005598206037511396,0.0008217925563109296,0.0005709045269384415,2,0.0005454209531760053,0.0005454209531760053,329,0.0005500009460028539,0.15625,0.4765625,0.04434961825609207,0.5234375,0.84375,0.04434961825609207,0.15625,0.4765625,0.044251374900341034,0.5234375,0.84375,0.044472891837358475,0.24227610230445862,0.6823282241821289,329
19,Client6 -> Client5,5,6,same_origin_merge,False,,0.0006192444112679807,0.0012832229312305207,0.0010657258459964326,0.0006192444112679807,0.0006465907703961882,0.0006691069950846388,0.0006235544168111706,0.0006235544168111706,0.4,2.7346359128207457e-05,4.986258381665801e-05,2.2516224688450557e-05,4.310005543189813e-06,-2.3036353585017644e-05,-4.55525782734682e-05,False,False,False,True,0.2466067224740982,0.753393292427063,0.24470703303813934,0.7514563798904419,0.0007020428217666023,0.0006924662002546656,0.0005687923910611293,6,0.0005511155670337185,0.0005511155670337185,329,0.0005442687761032846,0.140625,0.359375,0.04065148904919624,0.640625,0.859375,0.04065148904919624,0.140625,0.359375,0.04030558466911316,0.640625,0.859375,0.040816761553287506,0.21596868336200714,0.7275916337966919,329
20,Client7 -> Client5,5,7,same_origin_merge,False,,0.0006235544168111706,0.0008169091851678663,0.0007739236747550757,0.0006235544168111706,0.0006907667120099368,0.0005986630533894889,0.0005984009330831482,0.0005984009330831482,0.95,6.721229519876624e-05,-2.4891363421681613e-05,-9.210365862044785e-05,-2.5153483728022354e-05,-9.236577892678859e-05,-2.621203063407412e-07,False,False,False,True,0.3153349459171295,0.6846650838851929,0.31170177459716797,0.6814593076705933,0.0003765350522359341,0.0010341229434146955,0.0005625225576798828,7,0.0005429887883356899,0.0005429887883356899,329,0.0005460558931522527,0.2109375,0.4765625,0.045593101531267166,0.5234375,0.7890625,0.045593101531267166,0.203125,0.46875,0.045415524393320084,0.515625,0.7890625,0.045109644532203674,0.26274019479751587,0.6432539224624634,329
