datetime_utc_start,datetime_utc_end,datetime_nem_start,datetime_nem_end,REGION,rrp_aud_per_mwh,total_demand_mw,SETTLEMENTDATE,PERIODTYPE
2010-07-01 22:00:00+00:00,2010-07-01 22:30:00+00:00,2010-07-02 08:00:00+10:00,2010-07-02 08:30:00+10:00,NSW1,39.04,11893.35,2010-07-02 08:30:00,TRADE
2010-07-01 22:30:00+00:00,2010-07-01 23:00:00+00:00,2010-07-02 08:30:00+10:00,2010-07-02 09:00:00+10:00,NSW1,38.47,11837.39,2010-07-02 09:00:00,TRADE
2010-07-01 23:00:00+00:00,2010-07-01 23:30:00+00:00,2010-07-02 09:00:00+10:00,2010-07-02 09:30:00+10:00,NSW1,44.52,11852.76,2010-07-02 09:30:00,TRADE
2010-07-01 23:30:00+00:00,2010-07-02 00:00:00+00:00,2010-07-02 09:30:00+10:00,2010-07-02 10:00:00+10:00,NSW1,41.04,11818.86,2010-07-02 10:00:00,TRADE
2010-07-02 00:00:00+00:00,2010-07-02 00:30:00+00:00,2010-07-02 10:00:00+10:00,2010-07-02 10:30:00+10:00,NSW1,40.65,11786.23,2010-07-02 10:30:00,TRADE
2010-07-02 00:30:00+00:00,2010-07-02 01:00:00+00:00,2010-07-02 10:30:00+10:00,2010-07-02 11:00:00+10:00,NSW1,38.3,11704.93,2010-07-02 11:00:00,TRADE
2010-07-02 01:00:00+00:00,2010-07-02 01:30:00+00:00,2010-07-02 11:00:00+10:00,2010-07-02 11:30:00+10:00,NSW1,34.82,11511.91,2010-07-02 11:30:00,TRADE
2010-07-02 01:30:00+00:00,2010-07-02 02:00:00+00:00,2010-07-02 11:30:00+10:00,2010-07-02 12:00:00+10:00,NSW1,34.76,11409.84,2010-07-02 12:00:00,TRADE
2010-07-02 02:00:00+00:00,2010-07-02 02:30:00+00:00,2010-07-02 12:00:00+10:00,2010-07-02 12:30:00+10:00,NSW1,33.27,11276.77,2010-07-02 12:30:00,TRADE
2010-07-02 02:30:00+00:00,2010-07-02 03:00:00+00:00,2010-07-02 12:30:00+10:00,2010-07-02 13:00:00+10:00,NSW1,31.57,11208.75,2010-07-02 13:00:00,TRADE
2010-07-02 03:00:00+00:00,2010-07-02 03:30:00+00:00,2010-07-02 13:00:00+10:00,2010-07-02 13:30:00+10:00,NSW1,33.79,11184.47,2010-07-02 13:30:00,TRADE
2010-07-02 03:30:00+00:00,2010-07-02 04:00:00+00:00,2010-07-02 13:30:00+10:00,2010-07-02 14:00:00+10:00,NSW1,34.66,11141.2,2010-07-02 14:00:00,TRADE
