round,selected_clients,avg_local_train_loss,avg_local_val_loss,avg_local_train_task_loss,avg_local_train_rc_loss,avg_local_train_weighted_rc_loss,avg_local_train_total_loss,avg_local_train_rc_to_task_ratio,round_rc_to_task_ratio,global_rc_norm,avg_client_rc_rg_l2_norm,min_client_rc_rg_l2_norm,max_client_rc_rg_l2_norm,avg_personalized_head_ratio,avg_num_personalized_head_params,avg_num_head_params,avg_head_importance_mean,head_personalization_enabled_this_round,head_personalization_warmup_rounds,head_mask_update_interval,head_mask_updated_this_round,head_param_prefixes,head_param_exact_names,head_personalization_tau,use_head_importance_ema,head_importance_ema_beta,regional_val_loss,regional_val_MAE,regional_val_MSE,regional_val_RMSE,regional_val_MAPE_percent,regional_val_R2,avg_client_val_MAE,avg_client_val_MSE,avg_client_val_RMSE,avg_client_val_R2,regional_val_samples
11,9,0.0009065491926340375,0.0008359624165431619,0.0009065491926340375,0.0,0.0,0.0009065491926340375,0.0,0.0,0.3691084384918213,0.11715723739729987,0.061037808656692505,0.1849701851606369,0.0,0.0,336.0,0.0,False,5,1,False,fc1,,0.0,True,0.3,0.0007644841344012156,3.4924519062042236,23.32158660888672,4.829242860830952,4.401588067412376,0.9733051061630249,0.8974652025434706,1.4930012557241652,1.2043574182859234,0.8818645477294922,5208
12,9,0.0008935712453036911,0.0007331925061171569,0.0008935712453036911,0.0,0.0,0.0008935712453036911,0.0,0.0,0.3529597520828247,0.10392832963003053,0.048430170863866806,0.1497606635093689,0.0,0.0,336.0,0.0,False,5,1,False,fc1,,0.0,True,0.3,0.0007479901549605522,3.4825778007507324,21.828845977783203,4.672135055601797,4.590655490756035,0.9750137329101562,0.9089324341879951,1.4762815700636969,1.1954323541587408,0.8849440879291959,5208
13,9,0.0008871037779340653,0.0008729320993297036,0.0008871037779340653,0.0,0.0,0.0008871037779340653,0.0,0.0,0.343448281288147,0.11082155257463455,0.04312334954738617,0.1798958033323288,0.0,0.0,336.0,0.0,False,5,1,False,fc1,,0.0,True,0.3,0.0008025566343739305,4.3424458503723145,32.38258361816406,5.6905697094547625,5.7282958179712296,0.9629334807395935,0.9558304879400465,1.6012720068295796,1.2416316319487626,0.8773740397559272,5208
14,9,0.0008806514452619797,0.0007666062914920479,0.0008806514452619797,0.0,0.0,0.0008806514452619797,0.0,0.0,0.30793821811676025,0.10333369258377287,0.033641133457422256,0.20194068551063538,0.0,0.0,336.0,0.0,False,5,1,False,fc1,,0.0,True,0.3,0.0007383293925214989,3.2739834785461426,19.762466430664062,4.44549957042671,4.215055331587791,0.9773790240287781,0.8910473850038316,1.4466887447569106,1.1849643588481715,0.8857378628518846,5208
15,9,0.0008725619082922592,0.0007469877023958014,0.0008725619082922592,0.0,0.0,0.0008725619082922592,0.0,0.0,0.3061598837375641,0.10069565971692403,0.03177732974290848,0.15145930647850037,0.0,0.0,336.0,0.0,False,5,1,False,fc1,,0.0,True,0.3,0.0007481302089658477,3.6094717979431152,22.634553909301758,4.757578576261432,4.826229065656662,0.9740914702415466,0.9200473957591586,1.483763383494483,1.1970700148880948,0.8854116731219821,5208
16,9,0.0008741842529140538,0.0007362804893844712,0.0008741842529140538,0.0,0.0,0.0008741842529140538,0.0,0.0,0.288038045167923,0.08963003899488184,0.029632793739438057,0.14080965518951416,0.0,0.0,336.0,0.0,False,5,1,False,fc1,,0.0,True,0.3,0.0007435275202649316,3.570929527282715,21.976163864135742,4.687874130577286,4.786383733153343,0.9748451113700867,0.9156950116157532,1.4726398918363783,1.1929129816373902,0.8860045605235629,5208
17,9,0.0008689359252122828,0.000692012242217095,0.0008689359252122828,0.0,0.0,0.0008689359252122828,0.0,0.0,0.26379555463790894,0.10078141796920034,0.04148487374186516,0.13091322779655457,0.0,0.0,336.0,0.0,False,5,1,False,fc1,,0.0,True,0.3,0.000725726754764878,3.277653455734253,18.967182159423828,4.355132852098065,4.324210435152054,0.9782893061637878,0.8947048385938009,1.4288929568396673,1.1767025586796738,0.8884820606973436,5208
18,9,0.0008587168170287457,0.0007531397041191435,0.0008587168170287457,0.0,0.0,0.0008587168170287457,0.0,0.0,0.25429609417915344,0.09714997104472584,0.04303515702486038,0.1538475602865219,0.0,0.0,336.0,0.0,False,5,1,False,fc1,,0.0,True,0.3,0.0007258807305842437,3.1946358680725098,18.513063430786133,4.302680958517159,4.162554442882538,0.978809118270874,0.8907681769794888,1.427913851208157,1.176454251236385,0.8880826830863953,5208
19,9,0.0008571803359349196,0.0007028980724647689,0.0008571803359349196,0.0,0.0,0.0008571803359349196,0.0,0.0,0.24480625987052917,0.09053873063789473,0.03223295137286186,0.1385982483625412,0.0,0.0,336.0,0.0,False,5,1,False,fc1,,0.0,True,0.3,0.0007250016973552061,3.3126540184020996,19.653942108154297,4.433276678502516,4.333158954977989,0.97750324010849,0.8976153201527066,1.4343758821487427,1.1777353397171038,0.8886255886819627,5208
20,9,0.000853170818724309,0.0007101347329286785,0.000853170818724309,0.0,0.0,0.000853170818724309,0.0,0.0,0.2330799251794815,0.08787238597869873,0.032881684601306915,0.13860727846622467,0.0,0.0,336.0,0.0,False,5,1,False,fc1,,0.0,True,0.3,0.00073121568332284,3.4264280796051025,20.748422622680664,4.555043646627403,4.522202163934708,0.9762504696846008,0.9045985341072083,1.4506077302826776,1.1835283608801646,0.8877531091372172,5208
