round,client_id,client_name,tau,layer_name,num_layer_params,num_selected_params,selected_ratio,mask_jaccard_with_prev_round_layer,mask_hamming_change_rate_layer,selected_importance_mean,unselected_importance_mean,selected_importance_median,unselected_importance_median,selected_importance_min,selected_importance_max,unselected_importance_min,unselected_importance_max,importance_gap_mean_ratio,importance_gap_boundary_ratio,importance_selected_share
4,6,client_6,1.0,fc1,336,336,1.0,1.0,0.0,2.2195787232205118e-07,,3.0248300935169713e-16,,0.0,1.104075363400625e-05,,,,,0.999999986591191
4,6,client_6,1.0,fc2,17,17,1.0,1.0,0.0,1.4641720298303724e-07,,4.785938659268574e-11,,0.0,2.1661955997842597e-06,,,,,0.9999995982472556
4,7,client_7,1.0,fc1,336,336,1.0,1.0,0.0,2.3882645804610055e-07,,3.777004191585177e-15,,0.0,1.5846031601540744e-05,,,,,0.9999999875382721
4,7,client_7,1.0,fc2,17,17,1.0,1.0,0.0,1.8804535203169488e-07,,1.411110291116291e-11,,0.0,2.895289071602747e-06,,,,,0.9999996871844353
4,8,client_8,1.0,fc1,336,336,1.0,1.0,0.0,3.261095570805421e-07,,6.928100024094024e-18,,0.0,2.209899503213819e-05,,,,,0.9999999908736489
4,8,client_8,1.0,fc2,17,17,1.0,1.0,0.0,4.082496328396706e-07,,1.4867210240687712e-10,,0.0,6.452134584833402e-06,,,,,0.999999855912868
4,9,client_9,1.0,fc1,336,336,1.0,1.0,0.0,3.8067456240925986e-07,,0.0,,0.0,3.6597186408471316e-05,,,,,0.9999999921817982
4,9,client_9,1.0,fc2,17,17,1.0,1.0,0.0,5.881129219045659e-07,,0.0,,0.0,9.513708391750697e-06,,,,,0.999999899979203
5,1,client_1,1.0,fc1,336,336,1.0,1.0,0.0,4.775364595013009e-07,,9.919203892776954e-15,,0.0,8.4081751992926e-05,,,,,0.9999999937676165
5,1,client_1,1.0,fc2,17,17,1.0,1.0,0.0,4.6148173648465645e-07,,1.8341333785087954e-08,,0.0,7.434516646753764e-06,,,,,0.9999998725333683
5,2,client_2,1.0,fc1,336,336,1.0,1.0,0.0,3.2260189825233757e-07,,1.5661899657363294e-15,,0.0,3.801423008553684e-05,,,,,0.9999999907744177
5,2,client_2,1.0,fc2,17,17,1.0,1.0,0.0,1.5129364273156738e-07,,8.199391721142035e-10,,0.0,2.34590379477595e-06,,,,,0.999999611196404
