round,client_id,client_name,tau,head_prefixes,num_head_params,num_selected_params,selected_ratio,mask_jaccard_with_prev_round,mask_hamming_change_rate,selected_importance_mean,unselected_importance_mean,selected_importance_median,unselected_importance_median,selected_importance_min,selected_importance_max,unselected_importance_min,unselected_importance_max,importance_threshold,importance_gap_mean_ratio,importance_gap_median_ratio,importance_gap_boundary_ratio,importance_selected_total,importance_unselected_total,importance_selected_share,importance_top10_mean,importance_bottom10_mean
5,1,client_1,1.0,"fc1,fc2",353,353,1.0,1.0,0.0,4.767632858716041e-07,,1.983840778555391e-14,,0.0,8.4081751992926e-05,,,0.0,,,,0.00016829741070978343,0.0,0.999999994058138,4.592166533257114e-06,0.0
5,2,client_2,1.0,"fc1,fc2",353,353,1.0,1.0,0.0,3.1435192560686136e-07,,3.1323799314726588e-15,,0.0,3.801423008553684e-05,,,0.0,,,,0.0001109662334783934,0.0,0.9999999909882497,2.9647826522705145e-06,0.0
5,3,client_3,1.0,"fc1,fc2",353,353,1.0,1.0,0.0,1.750523921680254e-07,,3.70768005056657e-14,,0.0,1.2679313840635587e-05,,,0.0,,,,6.179349293233827e-05,0.0,0.9999999838170666,1.60641968705022e-06,0.0
5,4,client_4,1.0,"fc1,fc2",353,353,1.0,1.0,0.0,3.6560644603260185e-07,,2.716280533832105e-10,,0.0,2.3137505195336416e-05,,,0.0,,,,0.00012905907351523638,0.0,0.9999999922516104,3.3857945709314663e-06,0.0
5,5,client_5,1.0,"fc1,fc2",353,353,1.0,1.0,0.0,4.0296478911666345e-07,,4.1381235596363655e-15,,0.0,5.3821568144485354e-05,,,0.0,,,,0.00014224655751604587,0.0,0.999999992969953,3.890308562404243e-06,0.0
5,6,client_6,1.0,"fc1,fc2",353,353,1.0,1.0,0.0,9.166237104919377e-08,,7.84792153138425e-13,,0.0,4.134082701057196e-06,,,0.0,,,,3.235681651858613e-05,0.0,0.9999999690946119,8.480005249111855e-07,0.0
5,7,client_7,1.0,"fc1,fc2",353,353,1.0,1.0,0.0,1.1826687688488554e-07,,9.491696199902342e-15,,0.0,8.3639451986528e-06,,,0.0,,,,4.174820787739009e-05,0.0,0.9999999760468765,1.0746645102699404e-06,0.0
5,8,client_8,1.0,"fc1,fc2",353,353,1.0,1.0,0.0,2.2560841102221987e-07,,2.109840351472575e-13,,0.0,1.3465441043081228e-05,,,0.0,,,,7.963976531755179e-05,0.0,0.999999987443459,2.092551312671276e-06,0.0
5,9,client_9,1.0,"fc1,fc2",353,353,1.0,1.0,0.0,2.188785868696499e-07,,0.0,,0.0,1.6776186384959146e-05,,,0.0,,,,7.726415060460567e-05,0.0,0.9999999870573872,2.1221112547209486e-06,0.0
6,1,client_1,1.0,"fc1,fc2",353,353,1.0,1.0,0.0,3.2241930361396983e-07,,1.1386685085763241e-14,,0.0,5.3105937695363536e-05,,,0.0,,,,0.00011381402873666957,0.0,0.9999999912137371,3.109465069428552e-06,0.0
6,2,client_2,1.0,"fc1,fc2",353,353,1.0,1.0,0.0,1.29609637831043e-07,,1.332673771684001e-12,,0.0,8.561471076973248e-06,,,0.0,,,,4.57522037322633e-05,0.0,0.9999999781431298,1.132921056523628e-06,0.0
6,3,client_3,1.0,"fc1,fc2",353,353,1.0,1.0,0.0,2.061872308314775e-07,,1.2420038684578943e-13,,0.0,1.6779900761321187e-05,,,0.0,,,,7.278409611899406e-05,0.0,0.999999986260735,1.912949528559693e-06,0.0
6,4,client_4,1.0,"fc1,fc2",353,353,1.0,1.0,0.0,3.1082885681317325e-07,,1.8935922274643247e-10,,0.0,1.401312056259485e-05,,,0.0,,,,0.0001097225904231891,0.0,0.9999999908861067,2.868999899874325e-06,0.0
6,5,client_5,1.0,"fc1,fc2",353,353,1.0,1.0,0.0,3.084223568034247e-07,,3.106756930708332e-14,,0.0,4.433693175087683e-05,,,0.0,,,,0.00010887309326790273,0.0,0.9999999908149942,2.9519990221160697e-06,0.0
6,6,client_6,1.0,"fc1,fc2",353,353,1.0,1.0,0.0,7.634392639075716e-08,,9.191237181072065e-14,,0.0,2.8334259241091786e-06,,,0.0,,,,2.6949404855258763e-05,0.0,0.9999999628934306,6.538468824146548e-07,0.0
6,7,client_7,1.0,"fc1,fc2",353,353,1.0,1.0,0.0,7.411394890811478e-08,,1.216327386033278e-13,,0.0,7.523069143644534e-06,,,0.0,,,,2.6162222638959065e-05,0.0,0.9999999617769494,6.71553834763472e-07,0.0
6,8,client_8,1.0,"fc1,fc2",353,353,1.0,1.0,0.0,1.5187946818515824e-07,,1.4436521910635852e-13,,0.0,1.4378999367181677e-05,,,0.0,,,,5.3613443014910445e-05,0.0,0.9999999813479619,1.3952571862319019e-06,0.0
6,9,client_9,1.0,"fc1,fc2",353,353,1.0,1.0,0.0,1.6764429620190616e-07,,0.0,,0.0,1.4946811461413745e-05,,,0.0,,,,5.9178437368245795e-05,0.0,0.9999999831019535,1.6013143522286555e-06,0.0
