round,client_id,client_name,tau,head_prefixes,num_head_params,num_selected_params,selected_ratio,mask_jaccard_with_prev_round,mask_hamming_change_rate,selected_importance_mean,unselected_importance_mean,selected_importance_median,unselected_importance_median,selected_importance_min,selected_importance_max,unselected_importance_min,unselected_importance_max,importance_threshold,importance_gap_mean_ratio,importance_gap_median_ratio,importance_gap_boundary_ratio,importance_selected_total,importance_unselected_total,importance_selected_share,importance_top10_mean,importance_bottom10_mean
10,1,client_1,0.1,fc1,336,34,0.10119047619047619,0.7894736842105263,0.02380952425301075,2.5180034195754535e-06,9.34887341586355e-08,1.427193410563632e-06,0.0,6.515219297398289e-07,1.1985855053353589e-05,0.0,6.508536785077013e-07,6.515219297398289e-07,26.933475019865263,1427193.410563632,1.0010251923419489,8.561211870983243e-05,2.8233598641236313e-05,0.7520012166450416,2.518003384466283e-06,0.0
10,2,client_2,0.1,fc1,336,34,0.10119047619047619,0.6585365853658537,0.0416666679084301,8.609711885131834e-07,6.456381795242928e-09,2.405292747198473e-07,0.0,1.1717762760099504e-07,7.599770469823852e-06,0.0,1.1168974367592455e-07,1.1717762760099504e-07,133.33131225839085,240529.2747198473,1.049125681721584,2.9273021937115118e-05,1.949827264979831e-06,0.9375512404422001,8.609712267571012e-07,0.0
10,3,client_3,0.1,fc1,336,34,0.10119047619047619,0.6190476190476191,0.0476190485060215,1.6159365359539259e-06,4.6204109494427134e-08,8.991522975065891e-07,0.0,4.0913937482400797e-07,7.160751010815147e-06,0.0,3.6327668340163655e-07,4.0913937482400797e-07,34.97311344211459,899152.2975065891,1.1262441749598673,5.494184006238356e-05,1.3953640518593602e-05,0.7974665217748277,1.6159365259227343e-06,0.0
10,4,client_4,0.1,fc1,336,34,0.10119047619047619,0.6190476190476191,0.0476190485060215,1.908679034640419e-06,2.0079765376905723e-08,8.455992315248295e-07,0.0,2.6867982683143055e-07,7.774768164381385e-06,0.0,2.611591298773419e-07,2.6867982683143055e-07,95.05011381864621,845599.2315248295,1.0287934339656686,6.489508814411238e-05,6.064089120627614e-06,0.9145411450791716,1.908678768813843e-06,0.0
10,5,client_5,0.1,fc1,336,34,0.10119047619047619,0.5813953488372093,0.0535714291036129,1.2640533217269394e-06,5.032711382748462e-08,7.291908161732863e-07,0.0,3.93190020986367e-07,5.200748091738205e-06,0.0,3.928246883333486e-07,3.93190020986367e-07,25.1162466779478,729190.8161732863,1.0009274664662695,4.297781197237782e-05,1.5198787878034636e-05,0.7387473888838096,1.2640533668673015e-06,0.0
10,6,client_6,0.1,fc1,336,34,0.10119047619047619,0.5454545454545454,0.0595238097012043,9.029600166139276e-07,3.049632555569715e-08,4.132966466841026e-07,0.0,2.838751527178829e-07,4.4456528485170566e-06,0.0,2.71398846507509e-07,2.838751527178829e-07,29.607842660329514,413296.6466841026,1.0459665190342278,3.070063758059405e-05,9.209890777128749e-06,0.7692365417010784,9.029600391841086e-07,0.0
10,7,client_7,0.1,fc1,336,34,0.10119047619047619,0.4782608695652174,0.0714285746216774,1.3066285367144434e-06,2.8207505742030923e-08,9.374205944823188e-07,0.0,2.398882941179181e-07,5.982967195450328e-06,0.0,2.3492525258461683e-07,2.398882941179181e-07,46.32037402702814,937420.5944823188,1.021121698740391,4.442537101567723e-05,8.518667527823709e-06,0.8391005181834599,1.3066285191598581e-06,0.0
10,8,client_8,0.1,fc1,336,34,0.10119047619047619,0.3877551020408163,0.0892857164144516,9.596749459419965e-07,1.8455989816654104e-08,7.036494764633971e-07,0.0,2.430472534342698e-07,5.874815997231053e-06,0.0,2.1834188146385713e-07,2.430472534342698e-07,51.99520373988953,703649.4764633971,1.1131448472456935,3.262894824729301e-05,5.573708676820388e-06,0.8541015212111123,9.596749350748723e-07,0.0
10,9,client_9,0.1,fc1,336,34,0.10119047619047619,0.44680851063829785,0.0773809552192688,1.4037453339329551e-06,3.087216754918356e-08,6.065992010917398e-07,0.0,2.817120332565537e-07,5.660903752868762e-06,0.0,2.7791546131084033e-07,2.817120332565537e-07,45.46813447945276,606599.2010917398,1.013657240480866,4.7727342462167144e-05,9.323394806415308e-06,0.836577122586516,1.4037453865967109e-06,0.0
11,1,client_1,0.1,fc1,336,34,0.10119047619047619,1.0,0.0,2.2696936155987852e-06,7.181997996726724e-08,1.159583916887641e-06,0.0,1.1964903512406977e-09,7.8517241490772e-06,0.0,1.2053212685714243e-06,1.1964903512406977e-09,31.602097557471495,1159583.916887641,0.0009926725676932906,7.716957770753652e-05,2.16896332858596e-05,0.7806007771202093,2.343474307053839e-06,0.0
