round,selected_clients,avg_local_train_loss,avg_local_val_loss,avg_local_train_task_loss,avg_local_train_rc_loss,avg_local_train_weighted_rc_loss,avg_local_train_total_loss,avg_local_train_rc_to_task_ratio,round_rc_to_task_ratio,global_rc_norm,avg_client_rc_rg_l2_norm,min_client_rc_rg_l2_norm,max_client_rc_rg_l2_norm,avg_personalized_head_ratio,avg_num_personalized_head_params,avg_num_head_params,avg_head_importance_mean,head_personalization_enabled_this_round,head_personalization_warmup_rounds,head_mask_update_interval,head_mask_updated_this_round,head_param_prefixes,head_personalization_tau,regional_val_loss,regional_val_MAE,regional_val_MSE,regional_val_RMSE,regional_val_MAPE_percent,regional_val_R2,avg_client_val_MAE,avg_client_val_MSE,avg_client_val_RMSE,avg_client_val_R2,regional_val_samples,head_mask_jaccard_mean,head_mask_hamming_change_rate_mean,head_selected_importance_mean_avg,head_unselected_importance_mean_avg,head_importance_gap_mean_ratio_avg,head_importance_gap_boundary_ratio_avg,head_importance_selected_share_avg
11,9,0.0009510593240952131,0.0008213359756906287,0.0009510593240952131,3.192955331827869e-05,3.192955331827869e-05,0.000982988877654068,0.03444438379257088,0.0335726199993698,1.1757487058639526,0.01714906908778681,0.006167385261505842,0.03355993703007698,0.10119047619047618,34.0,336.0,1.5276125727344456e-07,True,5,2,False,fc1,0.1,0.0007475895588779247,3.4939866065979004,23.029155731201172,4.798870255716565,4.5484572649002075,0.9736705422401428,0.8922411335839165,1.4586378335952759,1.189721839988861,0.885390837987264,5211,1.0,0.0,1.0833327263700018e-06,4.7994932398918464e-08,24.929096791144794,0.029745898546046104,0.7149031743435881
12,9,0.0009304695059268089,0.0007251045061784969,0.0009304695059268089,2.8116551649782478e-05,2.8116551649782478e-05,0.0009585860577822821,0.030703978554101168,0.03021759599908537,1.1773645877838135,0.011152535366515318,0.006587420590221882,0.02157071977853775,0.10119047619047618,34.0,336.0,1.4096065588849646e-07,True,5,2,True,fc1,0.1,0.0007504912963167245,3.4921979904174805,22.665191650390625,4.760797375481404,4.575229436159134,0.9740867018699646,0.8984541893005371,1.4471462965011597,1.1870661677997212,0.8836914499600729,5211,0.5479294306313852,0.06018518697884348,1.1456821656777577e-06,2.7846314192083376e-08,49.73516238272542,1.0579234311840346,0.8255094654321213
13,9,0.0009191543116753892,0.0007697913274947205,0.0009191543116753892,2.643362554767325e-05,2.643362554767325e-05,0.0009455879375466077,0.028960300114018497,0.028758637350819474,1.1760767698287964,0.013653172800938288,0.006526747718453407,0.02916354313492775,0.10119047619047618,34.0,336.0,1.605576416510404e-07,True,5,2,False,fc1,0.1,0.0007635473157670148,3.4087271690368652,21.88006019592285,4.677612659885687,4.423791915178299,0.974984347820282,0.9046356810463799,1.474541339609358,1.1976466881011516,0.8819262782732645,5211,1.0,0.0,1.2197295604358628e-06,4.13131220613894e-08,39.91195059807828,0.036204115378304404,0.7686434573817476
14,9,0.000919960033698201,0.0007960903990002683,0.000919960033698201,2.7705534258482584e-05,2.7705534258482584e-05,0.0009476655675998087,0.030495177957832593,0.030116019406833873,1.1750961542129517,0.012277309886283345,0.005710294004529715,0.023465005680918694,0.10119047619047618,34.0,336.0,1.3029330463925564e-07,True,5,2,True,fc1,0.1,0.0007577180971467298,3.487192153930664,22.08868980407715,4.6998606153882,4.589199274778366,0.9747458100318909,0.9036512441105313,1.4616045620706346,1.1924865950760062,0.8827424579196506,5211,0.5224354749439188,0.06415344153841336,1.0568922999811855e-06,2.5974214879555608e-08,53.47747637191037,1.049857782052153,0.834385064841507
15,9,0.0008952423917193408,0.0007726008064071923,0.0008952423917193408,2.3620601919151482e-05,2.3620601919151482e-05,0.000918862992853873,0.026951331862281082,0.026384588253693837,1.1753919124603271,0.013327972704751624,0.00605729641392827,0.022341037169098854,0.10119047619047618,34.0,336.0,1.86417537406669e-07,True,5,2,False,fc1,0.1,0.0007649808044103869,3.407517671585083,21.327274322509766,4.618146199776461,4.477173462510109,0.9756163358688354,0.9051780369546678,1.4781301948759291,1.1983952343463646,0.8817841211954752,5211,1.0,0.0,1.3718785691383849e-06,5.295503760914179e-08,34.07840455715661,0.011016914901757996,0.7486624911442872
16,9,0.0009029673167792024,0.0007294968486672569,0.0009029673167792024,2.471466018525713e-05,2.471466018525713e-05,0.0009276819768079295,0.028092282771550625,0.027370492484757314,1.1763322353363037,0.011878933447102705,0.00540053378790617,0.01943308115005493,0.10119047619047618,34.0,336.0,1.1519692261824983e-07,True,5,2,True,fc1,0.1,0.0007408036471642758,3.3955912590026855,20.861696243286133,4.567460590228024,4.419514909386635,0.9761486649513245,0.8898943927552965,1.4567875133620367,1.1866358363259955,0.8853241072760688,5211,0.5417476350809685,0.06084656218687693,9.407068044095904e-07,2.2258725768651287e-08,50.17062453765568,1.0643104490518733,0.8259828323871232
17,9,0.0008908454152428849,0.000769824246907536,0.0008908454152428849,2.269509702358304e-05,2.269509702358304e-05,0.0009135405131832931,0.02614051987904401,0.025475909298943205,1.1757010221481323,0.0130425114184618,0.007947412319481373,0.031910065561532974,0.10119047619047618,34.0,336.0,1.5788327958590446e-07,True,5,2,False,fc1,0.1,0.0007697351981081868,3.4144725799560547,21.41036033630371,4.627133057985659,4.499096795916557,0.9755213260650635,0.9115408923890855,1.4795288642247517,1.1998167013268006,0.8783810072475009,5211,1.0,0.0,1.127141636841421e-06,4.8761481692661054e-08,29.873503454264785,0.005846870829637925,0.711077760830822
18,9,0.0008833700640874196,0.0008356431466773573,0.0008833700640874196,2.2061865467116973e-05,2.2061865467116973e-05,0.0009054319294339769,0.02539036775991381,0.024974658231070687,1.1743755340576172,0.01672516173372666,0.007191949523985386,0.030146056786179543,0.10119047619047618,34.0,336.0,1.2810460958689873e-07,True,5,2,True,fc1,0.1,0.0007425847598770195,3.3953678607940674,20.60007095336914,4.538730103604878,4.476192966103554,0.9764477610588074,0.8957630594571432,1.4403809507687886,1.1830526267714838,0.8836444351408217,5211,0.5117712851640442,0.06679894402623177,1.0881087387629433e-06,2.0024670739123027e-08,69.46614475281102,1.0187533449349193,0.864542070000844
19,9,0.0008713298349315562,0.0006840728803527569,0.0008713298349315562,2.0393058375009846e-05,2.0393058375009846e-05,0.0008917228923631152,0.023898511398584184,0.023404522069655997,1.1723653078079224,0.009063627622607682,0.006978132296353579,0.01443044189363718,0.10119047619047618,34.0,336.0,1.543475470889967e-07,True,5,2,False,fc1,0.1,0.0007526920906836903,3.36735463142395,20.19255828857422,4.4936130550565005,4.42880354821682,0.9769136905670166,0.9017686578962538,1.4669947889116075,1.1936386123663871,0.8824906018045213,5211,1.0,0.0,1.0750210258748264e-06,5.0695567332465405e-08,28.942110513215425,0.027471394283467065,0.7077498871461936
20,9,0.000871039437764658,0.0007118051114612746,0.000871039437764658,2.0210684515117716e-05,2.0210684515117716e-05,0.0008912501225126016,0.02353911527430493,0.023202949964907783,1.1728368997573853,0.011186458687815402,0.0065113240852952,0.01920980215072632,0.10119047619047618,34.0,336.0,1.2382863129940031e-07,True,5,2,True,fc1,0.1,0.0007922874092532565,3.647982597351074,22.84433364868164,4.779574630516992,4.937786236405373,0.9738818407058716,0.9266081584824456,1.5002397033903334,1.2075355515630934,0.8727454609341092,5211,0.5147092222596421,0.06679894381927119,1.0169293088426762e-06,2.3280870369934642e-08,54.761325357820425,1.0415560725297626,0.8287694342201898
