round,client_id,client_name,tau,layer_name,num_layer_params,num_selected_params,selected_ratio,mask_jaccard_with_prev_round_layer,mask_hamming_change_rate_layer,selected_importance_mean,unselected_importance_mean,selected_importance_median,unselected_importance_median,selected_importance_min,selected_importance_max,unselected_importance_min,unselected_importance_max,importance_gap_mean_ratio,importance_gap_boundary_ratio,importance_selected_share
7,7,client_7,0.1,fc1,336,34,0.10119047619047619,1.0,0.0,9.689159573711088e-07,3.482768385897711e-08,3.3287378187196737e-07,0.0,1.8366894116716992e-10,5.876432169316104e-06,0.0,8.995597227112739e-07,27.81948239256736,0.0002041762568441096,0.7579913678584673
7,8,client_8,0.1,fc1,336,34,0.10119047619047619,1.0,0.0,4.322304754111883e-07,1.952790018363073e-08,3.0164251541009435e-07,0.0,6.03477872118674e-08,2.08611027119332e-06,0.0,5.331822308107803e-07,22.13286315905732,0.11318395576713858,0.7136234713413634
7,9,client_9,0.1,fc1,336,34,0.10119047619047619,1.0,0.0,2.9152259491111215e-06,3.9040523122975514e-08,8.947314711349463e-07,0.0,2.086817652013906e-08,2.7249470804235898e-05,0.0,1.2801599496015115e-06,74.66988262544353,0.01630121316123172,0.893693432677728
8,1,client_1,0.1,fc1,336,34,0.10119047619047619,0.5454545454545454,0.0595238097012043,4.160839217641242e-06,7.860452550470827e-08,1.9295704305477557e-06,0.0,6.02121644988074e-07,1.611933475942351e-05,0.0,5.983553705846134e-07,52.93316456986244,1.006292695437974,0.8563102423947765
8,2,client_2,0.1,fc1,336,34,0.10119047619047619,0.4782608695652174,0.0714285746216774,5.516521323927998e-07,5.153683292974699e-09,2.65879478433817e-07,0.0,9.343982299014897e-08,5.715172392228851e-06,0.0,9.080451945919776e-08,107.01959772090066,1.0290103899701262,0.9233768903833737
8,3,client_3,0.1,fc1,336,34,0.10119047619047619,0.4166666666666667,0.0833333358168602,8.796906949809829e-07,3.899981227173938e-08,6.907948204570857e-07,0.0,3.4778281587932725e-07,2.7112557745567756e-06,0.0,3.312613046091428e-07,22.55570188773789,1.049871389048256,0.7174701005858363
8,4,client_4,0.1,fc1,336,34,0.10119047619047619,0.5454545454545454,0.0595238097012043,1.1066468634540422e-06,7.720777657866287e-09,4.77620957894942e-07,0.0,1.3651563790517685e-07,5.7552842918084934e-06,0.0,1.298722480669312e-07,143.31503864614453,1.051145173752969,0.9416463559110281
8,5,client_5,0.1,fc1,336,34,0.10119047619047619,0.5813953488372093,0.0535714291036129,2.946336039144626e-06,6.094259318531727e-08,1.3275231935949705e-06,0.0,4.496588132951729e-07,2.2449692551163025e-05,0.0,4.369383361790824e-07,48.34529579155938,1.0291103960273271,0.8447912854921585
8,6,client_6,0.1,fc1,336,34,0.10119047619047619,0.6585365853658537,0.0416666679084301,9.206720547768675e-07,3.5194061004546714e-08,6.776784857720486e-07,0.0,3.3160310408675286e-07,5.683844392478932e-06,0.0,3.314680441235396e-07,26.15912655068077,1.000404441879536,0.7465242465655276
8,7,client_7,0.1,fc1,336,34,0.10119047619047619,0.44680851063829785,0.0773809552192688,9.245103915886562e-07,1.6026366080017722e-08,4.657874086433367e-07,0.0,1.4528083625009458e-07,5.595382845058339e-06,0.0,1.4194687025792518e-07,57.68323921553765,1.0234802113347192,0.8665695870545889
8,8,client_8,0.1,fc1,336,34,0.10119047619047619,0.5454545454545454,0.0595238097012043,2.687401654518052e-06,4.6610784932668465e-08,1.2315915682847844e-06,0.0,5.37972653091856e-07,8.999007150123361e-06,0.0,5.368584652387653e-07,57.65498271306388,1.0020735181647502,0.8665082008542793
8,9,client_9,0.1,fc1,336,34,0.10119047619047619,0.5454545454545454,0.0595238097012043,7.279332010893193e-07,1.8290216123913558e-08,5.934456908107677e-07,0.0,1.5381507978418085e-07,2.449070734655834e-06,0.0,1.5229547045692016e-07,39.79687278078981,1.0099714019813102,0.8175411273227541
9,1,client_1,0.1,fc1,336,34,0.10119047619047619,1.0,0.0,2.077483761255566e-06,9.262297729493853e-08,1.3703800618714013e-06,0.0,6.815514375091425e-09,8.966822861111723e-06,0.0,7.722152872702281e-07,22.429222129387988,0.008825913785351712,0.7163258381005267
9,2,client_2,0.1,fc1,336,34,0.10119047619047619,1.0,0.0,5.496168058968144e-07,1.0692769380812523e-08,4.133212172519052e-07,0.0,1.6285904569368626e-10,1.8979784499606467e-06,0.0,2.8438665822250186e-07,51.39598455180582,0.0005726656589515819,0.8526560666854742
9,3,client_3,0.1,fc1,336,34,0.10119047619047619,1.0,0.0,1.1872712520834191e-06,7.184597579252187e-08,8.485499165544752e-07,0.0,3.449635599395151e-08,5.998878350510495e-06,0.0,7.973751507961424e-07,16.524999681433986,0.04326233730405472,0.6504054327807153
9,4,client_4,0.1,fc1,336,34,0.10119047619047619,1.0,0.0,9.383624033472835e-07,2.1123940894733242e-08,3.7705976296820154e-07,0.0,6.657527307218913e-11,5.807860816275934e-06,0.0,3.643592378921312e-07,44.419646332891325,0.00018271827205222854,0.8333645456530884
9,5,client_5,0.1,fc1,336,34,0.10119047619047619,1.0,0.0,1.6974052168533864e-06,6.942964112703105e-08,9.901716566673713e-07,0.0,6.130274243787426e-08,8.376614459848497e-06,0.0,1.3096891962049995e-06,24.44749449667036,0.046807056062194756,0.7335043473426891
9,6,client_6,0.1,fc1,336,34,0.10119047619047619,1.0,0.0,8.628940254094258e-07,7.099026409515757e-08,6.876253451082448e-07,0.0,3.0884237389727787e-08,3.331811967655085e-06,0.0,1.8850602145903395e-06,12.154932531597014,0.016383678763683827,0.5777838578626838
9,7,client_7,0.1,fc1,336,34,0.10119047619047619,1.0,0.0,1.1902861413987436e-06,7.626400449901669e-08,4.430024773682817e-07,0.0,1.0828006269392176e-09,1.1448233635746874e-05,0.0,3.821237442025449e-06,15.607238853753563,0.0002833637951065097,0.6373039324629709
9,8,client_8,0.1,fc1,336,34,0.10119047619047619,1.0,0.0,3.787559997986289e-07,4.021267942423739e-08,1.8853808114727144e-07,0.0,4.6842158624160746e-11,1.925536707858555e-06,0.0,1.1107670161436545e-06,9.418586043890999,4.217096454288138e-05,0.5146566333671108
9,9,client_9,0.1,fc1,336,34,0.10119047619047619,1.0,0.0,2.032353630681778e-06,7.410191124410482e-08,5.036573611505446e-07,0.0,7.01500768585106e-09,1.4035487765795551e-05,0.0,6.469897471106378e-06,27.426096985406357,0.0010842531327468366,0.7553664982455486
10,1,client_1,0.1,fc1,336,34,0.10119047619047619,0.7894736842105263,0.02380952425301075,2.5180034195754535e-06,9.34887341586355e-08,1.427193410563632e-06,0.0,6.515219297398289e-07,1.1985855053353589e-05,0.0,6.508536785077013e-07,26.933475019865263,1.0010251923419489,0.7520012166450416
10,2,client_2,0.1,fc1,336,34,0.10119047619047619,0.6585365853658537,0.0416666679084301,8.609711885131834e-07,6.456381795242928e-09,2.405292747198473e-07,0.0,1.1717762760099504e-07,7.599770469823852e-06,0.0,1.1168974367592455e-07,133.33131225839085,1.049125681721584,0.9375512404422001
10,3,client_3,0.1,fc1,336,34,0.10119047619047619,0.6190476190476191,0.0476190485060215,1.6159365359539259e-06,4.6204109494427134e-08,8.991522975065891e-07,0.0,4.0913937482400797e-07,7.160751010815147e-06,0.0,3.6327668340163655e-07,34.97311344211459,1.1262441749598673,0.7974665217748277
10,4,client_4,0.1,fc1,336,34,0.10119047619047619,0.6190476190476191,0.0476190485060215,1.908679034640419e-06,2.0079765376905723e-08,8.455992315248295e-07,0.0,2.6867982683143055e-07,7.774768164381385e-06,0.0,2.611591298773419e-07,95.05011381864621,1.0287934339656686,0.9145411450791716
