round,client_id,client_name,reference_mode,ref_client_ids,aggregation_client_ids,num_refs,importance_values_for_refs
14,4,client_4,fixed,"[4, 2, 5, 3]","[4, 2, 5, 3]",4,"[1.0, 0.3468628227710724, 0.07830389589071274, 3.2429959774017334]"
14,5,client_5,fixed,"[5, 2, 3, 8]","[5, 2, 3, 8]",4,"[1.0, 0.16118185222148895, 3.0589828491210938, 1.2366282939910889]"
14,6,client_6,fixed,"[6, 7, 1, 8]","[6, 7, 1, 8]",4,"[1.0, -0.5926446914672852, -1.5412604808807373, 1.2607285976409912]"
14,7,client_7,fixed,"[7, 6, 1, 8]","[7, 6, 1, 8]",4,"[1.0, 2.6072771549224854, 0.022593948990106583, 3.2998526096343994]"
14,8,client_8,fixed,"[8, 1, 5, 3]","[8, 1, 5, 3]",4,"[1.0, -1.2633135318756104, -0.49265632033348083, 2.5916824340820312]"
14,9,client_9,fixed,"[9, 3, 8, 6, 2]","[9, 3, 8, 6, 2]",5,"[1.0, 2.2691054344177246, 1.4811409711837769, 1.2243903875350952, 0.2130710333585739]"
15,1,client_1,fixed,"[1, 8, 6, 7]","[1, 8, 6, 7]",4,"[1.0, 3.883779525756836, 2.3235392570495605, 0.45822399854660034]"
15,2,client_2,fixed,"[2, 5, 3, 8]","[2, 5, 3, 8]",4,"[1.0, -0.38314393162727356, 2.757422685623169, 0.6560580730438232]"
15,3,client_3,fixed,"[3, 5, 2, 8]","[3, 5, 2, 8]",4,"[1.0, -0.5266759395599365, -0.9346982836723328, 0.27280905842781067]"
15,4,client_4,fixed,"[4, 2, 5, 3]","[4, 2, 5, 3]",4,"[1.0, 0.38752493262290955, 0.10184410214424133, 3.900024175643921]"
15,5,client_5,fixed,"[5, 2, 3, 8]","[5, 2, 3, 8]",4,"[1.0, 0.177585631608963, 3.5848541259765625, 1.4128261804580688]"
15,6,client_6,fixed,"[6, 7, 1, 8]","[6, 7, 1, 8]",4,"[1.0, -0.6105526089668274, -1.6378889083862305, 1.6024656295776367]"
15,7,client_7,fixed,"[7, 6, 1, 8]","[7, 6, 1, 8]",4,"[1.0, 2.9166269302368164, 0.03222152590751648, 3.847109794616699]"
15,8,client_8,fixed,"[8, 1, 5, 3]","[8, 1, 5, 3]",4,"[1.0, -1.3829855918884277, -0.5656337738037109, 3.0957283973693848]"
15,9,client_9,fixed,"[9, 3, 8, 6, 2]","[9, 3, 8, 6, 2]",5,"[1.0, 2.616189956665039, 1.721582293510437, 1.4095051288604736, 0.24161240458488464]"
