client_id,model_name,component,smoothing_window,decomp_mode,step,MAE,RMSE,sMAPE,WAPE,NRMSE_mean_abs,R2
1,DLinear,trend,48,autoformer_same,step_5,0.5519866195687076,0.7601258802662966,6.268087750688251,5.496046569069164,7.568456684168535,0.9785842604632541
1,DLinear,trend,48,autoformer_same,step_6,0.6281931482647595,0.858582702609063,7.319763941688142,6.252648189081084,8.545803247426985,0.9727124872008508
1,DLinear,season,48,autoformer_same,step_1,2.5401070246173876,3.445854013671801,50.870899049938586,27.5133793734715,37.32404877378749,0.9118882125156851
1,DLinear,season,48,autoformer_same,step_2,3.254559874325902,4.353884135412445,60.634005823428225,35.25293452885043,47.16065510477941,0.8593275525239121
1,DLinear,season,48,autoformer_same,step_3,3.4822663748676095,4.63542021559096,62.951311402336586,37.71508954889548,50.20445042919987,0.8405744739464204
1,DLinear,season,48,autoformer_same,step_4,3.57320034858394,4.753408645183655,63.84041460415325,38.70628603127914,51.490752482505776,0.8323304605145468
1,DLinear,season,48,autoformer_same,step_5,3.5806771672470314,4.76383333519809,64.02225773121667,38.78817980397459,51.60487676491448,0.8315918965760427
1,DLinear,season,48,autoformer_same,step_6,3.594942265099458,4.764823354714381,64.64653960864298,38.94530195111455,51.61903878037955,0.8315189840765018
1,TCN,trend,48,autoformer_same,step_1,0.22333646461106182,0.30529146088997255,2.423502493957244,2.226886737213202,3.04405927914684,0.9965265404600538
1,TCN,trend,48,autoformer_same,step_2,0.3014506199642232,0.4504571381485902,2.8030851166524036,3.004674666925987,4.489879691812827,0.9924488647496144
1,TCN,trend,48,autoformer_same,step_3,0.33560754018917416,0.4830290668771922,3.288325658825898,3.343940682348524,4.812825080399348,0.9913292296857524
1,TCN,trend,48,autoformer_same,step_4,0.37327839904709864,0.5351528025973452,3.9536195031190524,3.7179767396313257,5.330298991743809,0.9893710749782778
1,TCN,trend,48,autoformer_same,step_5,0.42370817195950894,0.625444511219316,4.561243911481195,4.218797634269036,6.227454970821417,0.9855009479583426
1,TCN,trend,48,autoformer_same,step_6,0.48515928340585607,0.7209791254938819,5.257230004707253,4.828977080031737,7.176182018633234,0.980758227991194
1,TCN,season,48,autoformer_same,step_1,2.384177274337657,3.245713122800088,48.94609664420882,25.824413383661238,35.156206391931846,0.9218263255336918
1,TCN,season,48,autoformer_same,step_2,2.9414104372590373,4.0013610311650645,55.19827321044708,31.860943897566973,43.34217486534098,0.881185133306528
1,TCN,season,48,autoformer_same,step_3,3.133560375316927,4.220343173300574,56.77214467905176,33.93838880761715,45.70891090424444,0.8678475645747593
1,TCN,season,48,autoformer_same,step_4,3.243679112663462,4.330233477576474,57.37389287140006,35.136784753251646,46.90675614672211,0.8608553557834128
1,TCN,season,48,autoformer_same,step_5,3.287903720361978,4.375085098890338,57.475402071049665,35.61667101689846,47.39370827608127,0.8579560056470041
1,TCN,season,48,autoformer_same,step_6,3.3381143756859064,4.428714873334691,58.50242652162092,36.16299309464631,47.97785516386902,0.8544498006812513
2,GRU,trend,6,autoformer_same,step_1,0.869789973816647,1.1553667376279362,14.433311585731335,6.302794304986696,8.37218016505998,0.9872563258393081
2,GRU,trend,6,autoformer_same,step_2,1.3981193975927007,1.8925741938949265,20.718683615779597,10.128268855236254,13.7102016530412,0.9658470060620028
2,GRU,trend,6,autoformer_same,step_3,1.8807650333941988,2.6059401086213163,27.20273227040378,13.622083310623328,18.874410179610685,0.9352941827281426
2,GRU,trend,6,autoformer_same,step_4,2.2771530599687444,3.247550134874465,31.94593945471953,16.49043638872888,23.517749413811433,0.8995620286881129
2,GRU,trend,6,autoformer_same,step_5,2.6452341582959904,3.8356755084986855,36.37792509317296,19.153012998333686,27.772489374316756,0.8599458194969338
2,GRU,trend,6,autoformer_same,step_6,2.929992490039838,4.303414742887108,39.68247677909746,21.211980976642284,31.155009906765642,0.8237522644575548
2,GRU,season,6,autoformer_same,step_1,1.7670093060974785,2.3916944986752293,79.91769005960472,49.883636889349646,67.51882168297844,0.7286023875977954
2,GRU,season,6,autoformer_same,step_2,1.8375973980475122,2.493018410029144,81.33201892444177,51.8866437413709,70.39317845391894,0.7050453784120685
2,GRU,season,6,autoformer_same,step_3,1.9786644761043235,2.667698819202712,85.92704634022324,55.84037492389935,75.28576068302648,0.662475339133469
2,GRU,season,6,autoformer_same,step_4,2.059397789977343,2.804392119456809,84.93995871114156,58.117471702496616,79.1416473572658,0.6270006682054483
2,GRU,season,6,autoformer_same,step_5,2.1043999384890437,2.85212002949404,87.7530928187501,59.40059608507288,80.50636143413573,0.6141289068874879
2,GRU,season,6,autoformer_same,step_6,2.124695059667334,2.862334247555817,88.27764547173857,59.98057755938234,80.80426040511554,0.6113166292499519
2,DLinear,trend,6,autoformer_same,step_1,1.1347854177913912,1.5331415807195161,17.447051158594455,8.22304152030298,11.109665108311384,0.9775601751475914
2,DLinear,trend,6,autoformer_same,step_2,1.6465083228642725,2.2828195904795936,23.902270343326567,11.92765009559764,16.537220587678465,0.9503103274483555
2,DLinear,trend,6,autoformer_same,step_3,1.9718283332485156,2.8256246292407514,27.99751148275289,14.281640371250464,20.465550259371014,0.9239247477198098
2,DLinear,trend,6,autoformer_same,step_4,2.560239255689036,3.7577568335716296,34.866334125211885,18.54045884225548,27.212507859679658,0.8655243816607225
2,DLinear,trend,6,autoformer_same,step_5,2.8696507866444065,4.273836248913223,38.12821651265927,20.777918145698138,30.945024298202554,0.8261206074909833
2,DLinear,trend,6,autoformer_same,step_6,3.007918856514535,4.587249082419444,39.340474826511745,21.77613689474078,33.209857554119665,0.7997365083060672
2,DLinear,season,6,autoformer_same,step_1,1.7881468666303575,2.40282336544235,77.84439234086614,50.48036175701745,67.83299557567211,0.726070814349201
2,DLinear,season,6,autoformer_same,step_2,1.777803322327089,2.4183094528823132,76.29591128409083,50.19829029243446,68.28368703123763,0.7224584680415355
2,DLinear,season,6,autoformer_same,step_3,1.9403910508364723,2.595480702400127,81.46463058828793,54.76025121298781,73.24767609137712,0.6805024553865064
2,DLinear,season,6,autoformer_same,step_4,2.0397444319218936,2.7405063074819447,83.47889968867625,57.56284185574945,77.33875097648914,0.6438014151977174
2,DLinear,season,6,autoformer_same,step_5,2.057095509492695,2.7698577841785172,83.61466490762743,58.065340733438234,78.18435745629829,0.63606687166558
2,DLinear,season,6,autoformer_same,step_6,2.060394727867868,2.7748277541967745,83.43263628522864,58.16536599711901,78.33393483689774,0.6347187956559011
2,TCN,trend,6,autoformer_same,step_1,0.9525600927966783,1.2035205156500015,14.545851805943455,6.902574769506496,8.721118811205134,0.9861719184006272
2,TCN,trend,6,autoformer_same,step_2,1.3153380741145826,1.7640428661723215,19.623890041784144,9.528583662525044,12.779093944030626,0.9703283825164385
2,TCN,trend,6,autoformer_same,step_3,1.7050363494624132,2.3946435903377132,25.170437460835604,12.349308280206621,17.344023068097883,0.9453618187998755
2,TCN,trend,6,autoformer_same,step_4,2.043977762783917,2.9923954888513222,29.27182780762098,14.801853186639633,21.669998716292493,0.9147245173538996
2,TCN,trend,6,autoformer_same,step_5,2.477226318497726,3.7041673924952763,35.06117527864938,17.936539844383866,26.820295231134235,0.869384846115969
2,TCN,trend,6,autoformer_same,step_6,2.818580982060922,4.290551713589589,39.069720608069154,20.405405944159632,31.061886694354474,0.8248043088167948
2,TCN,season,6,autoformer_same,step_1,1.7441783034055653,2.294175014313425,81.77786705425905,49.2391052254964,64.76579420439043,0.7502832323906542
2,TCN,season,6,autoformer_same,step_2,1.7960351976600992,2.374967331062323,82.73642957340527,50.7130879413352,67.05987347913059,0.7323177868562136
2,TCN,season,6,autoformer_same,step_3,1.877612211560725,2.482870720760727,84.37094174291813,52.98855420989261,70.06968310836201,0.7076250701180284
