subset,intra_mean,intra_max,coverage_mean,coverage_max,nonself_mean,combined
"client_1,client_2,client_6,client_7",0.18007520202249072,0.311427417205379,0.056712752642598147,0.1788977142460728,0.10910810962273304,0.11839397733254443
"client_1,client_2,client_3,client_6",0.18782091209242277,0.272428130825533,0.05093980381235795,0.1788977142460728,0.10139845475060832,0.11938035795239035
"client_3,client_6,client_7,client_8",0.17209461445824858,0.2717385005711636,0.06784654324510404,0.250848745903501,0.11708626659884677,0.11997057885167631
"client_2,client_4,client_5,client_8",0.17601643169996103,0.3074824970094167,0.0640364982675154,0.1766737891388874,0.11863900790891338,0.12002646498373822
"client_1,client_3,client_5,client_7",0.18510751261132405,0.2717385005711636,0.05671156721078855,0.2250718214335146,0.11334977200205407,0.1209095399110563
"client_1,client_2,client_5,client_7",0.1892727545600067,0.311427417205379,0.05307971545768519,0.1788977142460728,0.10543809695829662,0.12117623500884595
"client_2,client_3,client_5,client_7",0.18471051180362955,0.311427417205379,0.05949100378975169,0.1788977142460728,0.12175050253242312,0.12210075779669062
"client_2,client_6,client_7,client_8",0.18759193037024743,0.311427417205379,0.05671275264259801,0.1788977142460728,0.10939292641164826,0.12215234150642272
"client_2,client_3,client_7,client_8",0.19421465970612486,0.311427417205379,0.050939803812357805,0.1788977142460728,0.11624217992966035,0.12257723175924133
"client_2,client_3,client_4,client_5",0.15428390929431687,0.250848745903501,0.09133831195817695,0.2542119788624231,0.14418352762380457,0.12281111062624692
"client_1,client_2,client_4,client_5",0.1954501986450403,0.3325864782620837,0.05280058571109052,0.1338519533636684,0.11324205660910722,0.1241253921780654
"client_3,client_4,client_5,client_8",0.18723381601160627,0.3074824970094167,0.06189658662218854,0.1766737891388874,0.12655068295267083,0.12456520131689741
"client_3,client_5,client_6,client_7",0.18870567546809192,0.2717385005711636,0.06333055996127658,0.2250718214335146,0.10061056268680399,0.12601811771468424
"client_2,client_3,client_4,client_8",0.19044620141338506,0.3074824970094167,0.06189658662218816,0.1766737891388874,0.1274769533778889,0.1261713940177866
"client_1,client_4,client_5,client_8",0.2036651534143961,0.3325864782620837,0.05017078247677548,0.1338519533636684,0.1158046619852341,0.1269179679455858
"client_1,client_2,client_3,client_7",0.20523069565348753,0.311427417205379,0.05093980381235795,0.1788977142460728,0.11005347608893469,0.12808524973292273
"client_2,client_5,client_6,client_7",0.19772210602795973,0.311427417205379,0.059698708208173225,0.1788977142460728,0.09269888764304653,0.12871040711806647
"client_1,client_3,client_4,client_5",0.2098916147449648,0.3325864782620837,0.050660674065763654,0.1338519533636684,0.12115373165286468,0.13027614440536422
"client_1,client_2,client_3,client_4",0.21278320686539534,0.3325864782620837,0.05066067406576327,0.1338519533636684,0.1242574309582807,0.1317219404655793
"client_1,client_2,client_4,client_8",0.21416419215409702,0.3325864782620837,0.05140851621943058,0.1338519533636684,0.11821395103656747,0.1327863541867638
"client_2,client_3,client_6,client_7",0.20925251673055964,0.311427417205379,0.06178136290118341,0.1788977142460728,0.10153683311202202,0.13551693981587154
"client_2,client_4,client_5,client_6",0.22736359398942133,0.3959379332576992,0.044388887065003615,0.1067592176075564,0.11267954344732325,0.13587624052721248
"client_4,client_5,client_6,client_8",0.2329688655882768,0.3959379332576992,0.040165197756773297,0.096619998513298,0.11327614642366986,0.13656703167252504
"client_1,client_3,client_4,client_8",0.22212472290189053,0.3325864782620837,0.05354842786475808,0.1338519533636684,0.12662698927030214,0.1378365753833243
"client_1,client_4,client_5,client_6",0.23709390002651598,0.3959379332576992,0.040165197756773435,0.0966199985132991,0.11229100589611668,0.1386295488916447
"client_3,client_4,client_5,client_6",0.23695382147816066,0.3959379332576992,0.042248975419676746,0.1067592176075564,0.12059121849108073,0.1396013984489187
"client_2,client_4,client_6,client_8",0.24389156254828195,0.3959379332576992,0.0414029314994284,0.1026027357426375,0.12062769985987679,0.14264724702385517
"client_2,client_3,client_4,client_6",0.24026907181889548,0.3959379332576992,0.046471541758013796,0.1405397483142558,0.1245968363416734,0.14337030678845464
"client_1,client_4,client_6,client_8",0.2296926846232341,0.3959379332576992,0.0582529847858691,0.1623057672644253,0.1332472800416662,0.1439728347045516
"client_1,client_2,client_4,client_6",0.24769580370517286,0.3959379332576992,0.04140293149942854,0.1026027357426375,0.11093532706353754,0.1445493676023007
"client_3,client_4,client_6,client_8",0.2470009046848903,0.3959379332576992,0.04354284314475591,0.1026027357426397,0.12832104004707529,0.1452718739148231
"client_4,client_5,client_7,client_8",0.2516769487945046,0.4398623887152287,0.040165197756773297,0.096619998513298,0.11707320348021277,0.14592107327563894
"client_2,client_4,client_5,client_7",0.24750881551689952,0.4398623887152287,0.0487163977341668,0.1338519533636684,0.12175050253242312,0.14811260662553316
"client_1,client_4,client_5,client_7",0.25650925471623737,0.4398623887152287,0.040165197756773435,0.0966199985132991,0.12094602723444303,0.14833722623650542
"client_1,client_3,client_4,client_6",0.25402917763006044,0.3959379332576992,0.04354284314475605,0.1026027357426397,0.12529076206138307,0.14878601038740824
"client_3,client_4,client_5,client_7",0.25573905021453736,0.4398623887152287,0.046576486088839936,0.1338519533636684,0.12966217757618057,0.15115776815168863
