count,mean,std,min,max,range,client,date
48,9.453895833333332,3.7211450893713476,4.659,19.508,14.849,2,2011-09-01
48,10.453041666666666,4.369917229647679,4.471,22.83,18.358999999999998,2,2011-09-02
48,9.869041666666666,3.479194458970831,4.739,17.266,12.526999999999997,2,2011-09-03
48,10.565395833333334,3.2744299210805203,5.558,19.104,13.546,2,2011-09-04
48,9.317041666666666,3.0224858091167377,5.095,18.499,13.404,2,2011-09-05
48,9.24925,3.0758533394746648,5.266,16.555,11.289,2,2011-09-06
48,9.278895833333333,3.8390155777151667,5.118,18.48,13.362,2,2011-09-07
48,9.460166666666668,3.303085291014496,5.169,17.266000000000002,12.097000000000001,2,2011-09-08
48,10.780479166666666,4.682178702678067,5.47,23.482,18.012,2,2011-09-09
48,10.543625,3.53634555705974,4.615,17.868,13.252999999999998,2,2011-09-10
48,10.399062500000001,3.222350974757603,5.894,20.2,14.306,2,2011-09-11
48,9.849958333333333,4.292026035287839,5.147,20.87,15.723,2,2011-09-12
48,9.327770833333334,3.4455394985004824,4.822,16.485,11.663,2,2011-09-13
48,9.341291666666667,2.9911153328477926,5.221,18.276,13.055,2,2011-09-14
48,9.295354166666668,2.956489583802251,5.315,15.78,10.465,2,2011-09-15
48,8.905229166666667,2.41254753003192,5.735,14.235,8.5,2,2011-09-16
48,8.978250000000001,2.607206791821306,5.368,14.638,9.27,2,2011-09-17
48,8.872979166666667,2.9809823062532654,4.755,17.954,13.199000000000002,2,2011-09-18
48,8.898208333333333,2.7049560735673834,5.202,17.41,12.208,2,2011-09-19
48,8.783541666666666,3.189423745445905,4.574,18.861,14.287,2,2011-09-20
48,8.830625,3.0346035783376344,5.394,17.255,11.860999999999999,2,2011-09-21
48,8.603729166666666,2.470458366803604,5.041,15.06,10.019,2,2011-09-22
48,8.695729166666666,2.6494580797925478,5.462,15.206,9.744,2,2011-09-23
48,9.2243125,2.8623486945517533,4.567,14.755,10.188,2,2011-09-24
48,12.1075625,5.197415576694028,4.923,24.625,19.701999999999998,2,2011-09-25
48,8.912875,3.192241249781806,4.66,16.581,11.921,2,2011-09-26
48,8.834645833333333,3.3592903030226893,4.934,17.764,12.829999999999998,2,2011-09-27
48,9.197104166666668,3.5107761598025,4.666,18.317,13.651,2,2011-09-28
48,8.9828125,2.7308810725077084,5.042,15.321,10.279,2,2011-09-29
48,9.223729166666667,3.009351352598517,4.733,17.763,13.030000000000001,2,2011-09-30
48,9.458562500000001,3.5493748499979363,4.641,19.883,15.241999999999999,2,2011-10-01
48,11.617708333333333,5.090317834654474,0.0,21.022,21.022,2,2011-10-02
48,9.9838125,3.1826199407877778,4.738,16.298000000000002,11.560000000000002,2,2011-10-03
48,9.216583333333334,3.595916483264026,3.64,18.721,15.081,2,2011-10-04
48,8.999583333333334,3.094789484012541,3.977,16.17,12.193000000000001,2,2011-10-05
48,9.250229166666667,3.3881836673041392,4.024,16.832,12.808,2,2011-10-06
48,8.523666666666667,2.836097793630443,3.823,15.762,11.939,2,2011-10-07
48,9.141645833333333,3.174836531155066,3.809,15.521,11.712,2,2011-10-08
48,9.171854166666668,3.0717603795452493,3.906,15.542,11.636,2,2011-10-09
48,8.687624999999999,3.1858068527755243,4.141,16.672,12.531,2,2011-10-10
48,8.895249999999999,3.8228040644131407,3.636,19.094,15.458000000000002,2,2011-10-11
48,8.574791666666666,2.579566085549333,4.563,14.214,9.651,2,2011-10-12
48,8.2315,2.837979960344884,4.093,15.216,11.123,2,2011-10-13
48,9.168458333333334,2.9760150276897903,4.654,16.186,11.532,2,2011-10-14
48,8.532187500000001,2.1057785203723833,4.468,12.23,7.7620000000000005,2,2011-10-15
48,8.768083333333333,2.737936510099044,4.587,15.183,10.596,2,2011-10-16
48,8.5000625,2.910824979252519,4.371,15.743,11.372,2,2011-10-17
48,8.828020833333333,2.8711197273743982,4.226,15.052,10.826,2,2011-10-18
48,8.515854166666667,3.0874250097850306,4.216,17.48,13.264,2,2011-10-19
48,8.839645833333334,2.7654513347124956,4.688,15.282,10.594000000000001,2,2011-10-20
48,8.695437499999999,2.4930409006233436,4.791,15.716,10.924999999999999,2,2011-10-21
48,9.111145833333333,2.665487013818175,4.561,14.04,9.479,2,2011-10-22
48,9.331333333333333,2.5201181864664335,5.274,14.94,9.666,2,2011-10-23
48,9.4423125,3.54568681433828,4.61,18.148,13.538,2,2011-10-24
48,8.874520833333333,2.85967377241935,5.032,15.851,10.819,2,2011-10-25
48,9.0746875,2.8589166610333434,4.858,16.389,11.530999999999999,2,2011-10-26
48,8.235604166666667,2.06644905358107,5.402,12.947,7.544999999999999,2,2011-10-27
48,8.014041666666666,2.2862839398347043,5.054,13.634,8.58,2,2011-10-28
48,9.2374375,2.54432294974643,5.198,15.278,10.08,2,2011-10-29
48,9.878291666666668,2.7295542848552463,5.829,17.328,11.498999999999999,2,2011-10-30
48,8.457916666666668,2.5967417131518284,4.921,14.356,9.434999999999999,2,2011-10-31
48,8.310416666666667,2.156171872055651,5.0,13.045,8.045,2,2011-11-01
48,8.805041666666666,2.589477339511581,4.943,15.13,10.187000000000001,2,2011-11-02
48,8.567937500000001,2.2059681659539256,4.837,14.474,9.637,2,2011-11-03
48,7.856854166666667,2.298786247636499,4.896,15.875,10.979,2,2011-11-04
48,8.555541666666667,2.1702108727654794,4.503,13.321,8.818,2,2011-11-05
48,9.511291666666667,2.7370749098365468,5.0120000000000005,14.963,9.950999999999999,2,2011-11-06
48,9.127104166666667,2.126633642283717,5.591,13.762,8.171,2,2011-11-07
48,10.183604166666667,3.6061663603757483,5.297,18.528,13.230999999999998,2,2011-11-08
48,10.709520833333334,4.168208370611207,5.105,20.647,15.541999999999998,2,2011-11-09
48,9.009,2.2427531428078455,6.073,13.604,7.530999999999999,2,2011-11-10
48,7.881583333333334,1.8428697421480509,4.915,11.244,6.329,2,2011-11-11
48,8.7265625,2.0591038528597094,5.15,12.294,7.144,2,2011-11-12
48,9.356458333333334,2.2922457255521396,5.0920000000000005,14.018,8.926,2,2011-11-13
48,13.453791666666667,8.833318869685735,5.197,31.903,26.706,2,2011-11-14
48,8.7716875,2.076579011169009,5.624,13.603,7.979,2,2011-11-15
48,8.774979166666666,2.5983355760013342,5.16,15.975,10.815,2,2011-11-16
48,7.779520833333333,2.1081502024648247,4.884,13.323,8.439,2,2011-11-17
48,8.728937499999999,2.028375048267989,4.803,12.555,7.752,2,2011-11-18
48,9.834416666666668,3.1221505056838375,4.793,15.075,10.282,2,2011-11-19
48,12.878333333333332,6.731061180076222,5.42,27.531,22.110999999999997,2,2011-11-20
48,9.280354166666667,2.773979202621752,5.3870000000000005,15.867,10.48,2,2011-11-21
48,8.7938125,2.647350515388884,5.472,16.39,10.918,2,2011-11-22
48,9.070416666666667,2.9596130126077558,4.092,14.867,10.775000000000002,2,2011-11-23
48,8.807354166666666,2.7755398439022003,4.569,15.745,11.175999999999998,2,2011-11-24
48,9.2981875,3.003905632539433,4.566,16.045,11.479000000000003,2,2011-11-25
48,9.185583333333334,2.4316953444514704,5.238,14.636,9.398,2,2011-11-26
48,9.387895833333333,2.632383211444939,4.747,13.945,9.198,2,2011-11-27
48,7.985416666666667,2.0629805728536637,4.9190000000000005,12.767,7.847999999999999,2,2011-11-28
48,8.206333333333333,2.8473737457922432,4.848,14.465,9.617,2,2011-11-29
48,9.550520833333334,4.145152236454835,5.178,19.729,14.550999999999998,2,2011-11-30
48,8.333020833333334,1.98121866095983,4.359,12.259,7.9,2,2011-12-01
48,8.258958333333334,2.1400260085746354,4.557,14.091,9.533999999999999,2,2011-12-02
48,8.103770833333334,1.865122187995329,5.039,12.83,7.791,2,2011-12-03
48,8.728833333333332,3.1351775770626316,3.348,16.931,13.583000000000002,2,2011-12-04
48,8.174854166666666,3.1584282179697194,4.185,16.249,12.064,2,2011-12-05
48,8.167375,2.508554611596427,4.45,14.919,10.469000000000001,2,2011-12-06
48,7.754270833333333,2.5784636175863156,3.67,15.27,11.6,2,2011-12-07
48,7.688791666666667,2.5332067723378677,4.126,15.596,11.469999999999999,2,2011-12-08
48,7.8328541666666665,2.2603087436405707,3.506,13.067,9.561,2,2011-12-09
48,7.7401875,1.838228166981178,3.768,12.594,8.826,2,2011-12-10
48,8.502145833333334,2.595485425754,4.541,16.012,11.471,2,2011-12-11
48,9.195333333333334,2.576057926312278,4.748,14.194,9.446000000000002,2,2011-12-12
48,8.094166666666666,2.7371612125605793,3.587,14.084,10.497,2,2011-12-13
48,7.9158125,2.7489766270397125,3.779,15.089,11.31,2,2011-12-14
48,8.176895833333333,2.2889381282323655,4.056,12.364,8.308,2,2011-12-15
48,7.9828125000000005,2.376810840728892,4.641,12.902,8.261,2,2011-12-16
48,8.5346875,2.360433382099522,4.239,13.449,9.21,2,2011-12-17
48,8.985729166666667,3.042326333717889,3.718,15.359,11.641,2,2011-12-18
48,8.561625000000001,2.313737886044819,4.844,14.592,9.748000000000001,2,2011-12-19
48,8.300645833333332,2.40659268702846,3.766,12.816,9.05,2,2011-12-20
48,8.284458333333333,2.2594585583609086,5.165,13.429,8.264,2,2011-12-21
48,8.058604166666667,2.270862285748154,4.061,13.092,9.031,2,2011-12-22
48,8.898083333333334,2.1701640572687113,4.88,13.529,8.649000000000001,2,2011-12-23
48,10.905,3.388874243505928,4.982,16.524,11.542000000000002,2,2011-12-24
48,11.129249999999999,3.892638466906804,5.615,20.145,14.53,2,2011-12-25
48,10.122875,2.6555655135598726,5.191,14.73,9.539000000000001,2,2011-12-26
48,8.742708333333333,2.2707688636824113,4.683,13.085,8.402000000000001,2,2011-12-27
48,7.949875,2.3211023575567107,4.063,12.848,8.785,2,2011-12-28
48,8.146062500000001,2.136818547899877,4.051,12.179,8.128,2,2011-12-29
48,8.3196875,2.3521673134534304,4.59,13.536,8.946,2,2011-12-30
48,8.5285625,1.8015370613020083,5.168,12.763,7.595,2,2011-12-31
48,8.284416666666667,1.737149607508015,5.206,11.355,6.149,2,2012-01-01
48,8.7845625,2.6100835146518673,4.235,14.305,10.07,2,2012-01-02
48,9.081354166666666,2.7368012427119965,5.3,15.987,10.687000000000001,2,2012-01-03
48,11.892270833333333,5.30832031669747,4.718,26.343,21.625,2,2012-01-04
48,8.602375,2.371224000519205,4.875,15.669,10.794,2,2012-01-05
48,8.930458333333332,2.3653690095666757,4.728,13.545,8.817,2,2012-01-06
48,8.107166666666666,2.242606806994963,4.367,12.502,8.135000000000002,2,2012-01-07
48,9.392666666666667,3.285050421150875,4.203,15.555,11.352,2,2012-01-08
48,8.6375625,2.4338482085770297,5.055,13.145,8.09,2,2012-01-09
48,8.122895833333333,2.229872539431331,4.4510000000000005,12.944,8.493,2,2012-01-10
48,8.967020833333335,3.066521096919865,4.978,15.447,10.469,2,2012-01-11
48,7.718354166666667,1.9068472641820158,5.364,12.575,7.210999999999999,2,2012-01-12
48,8.176499999999999,2.389930712073185,4.279,13.371,9.092,2,2012-01-13
48,8.956479166666666,2.224930034659787,4.611,14.574,9.963000000000001,2,2012-01-14
48,9.4550625,3.073056357925992,4.197,15.089,10.892,2,2012-01-15
48,9.1610625,2.5142868741200437,5.109,12.713,7.603999999999999,2,2012-01-16
48,8.344354166666667,2.522930974419315,4.5440000000000005,13.342,8.798,2,2012-01-17
48,9.223666666666666,3.148508706993548,4.76,15.69,10.93,2,2012-01-18
48,8.924770833333334,2.2227149321875497,4.824,13.992,9.168000000000001,2,2012-01-19
48,9.3959375,2.980493421996403,4.788,16.141,11.352999999999998,2,2012-01-20
48,9.362625,1.9609386986306416,4.711,13.212,8.501,2,2012-01-21
48,8.604583333333332,2.489397849376886,4.695,13.498,8.802999999999999,2,2012-01-22
48,8.7485,2.5558353674546246,4.799,13.875,9.076,2,2012-01-23
48,8.680979166666667,2.5357792078661143,4.4,14.783,10.383,2,2012-01-24
48,8.9455625,2.7822353014449344,4.518,15.042,10.524000000000001,2,2012-01-25
48,9.511854166666668,2.660379808027604,4.815,13.678,8.863,2,2012-01-26
48,9.495958333333332,2.5482478081701503,5.394,15.554,10.16,2,2012-01-27
48,9.613999999999999,2.614653095251956,5.002,15.272,10.27,2,2012-01-28
48,9.358270833333334,2.448202673257255,5.789,16.016000000000002,10.227000000000002,2,2012-01-29
48,12.9543125,6.292963463709693,5.463,26.453,20.99,2,2012-01-30
48,9.856479166666666,2.3190464565510207,5.431,15.143,9.712,2,2012-01-31
48,9.134270833333334,2.6720524961366183,5.27,17.978,12.708000000000002,2,2012-02-01
48,8.346854166666667,2.575528567850114,4.608,13.682,9.074000000000002,2,2012-02-02
48,8.9266875,2.564535287472467,5.451,15.745,10.294,2,2012-02-03
48,9.155770833333333,2.2306498837361395,4.706,13.793,9.087,2,2012-02-04
48,9.691791666666667,3.060825343834729,5.207,16.431,11.224,2,2012-02-05
48,9.089854166666667,2.573163563196284,5.113,15.401,10.288,2,2012-02-06
48,8.355770833333333,1.987827909409936,5.709,14.801,9.092,2,2012-02-07
48,9.179666666666668,2.975136952566188,5.053,15.599,10.546,2,2012-02-08
48,8.413645833333334,2.2304004171523406,4.729,13.585,8.856000000000002,2,2012-02-09
48,8.5644375,2.1038188873817676,5.431,14.094,8.663,2,2012-02-10
48,9.04625,2.315695571253572,4.869,14.398,9.529,2,2012-02-11
48,9.179104166666667,2.364864831183699,5.59,15.924,10.334,2,2012-02-12
48,8.884229166666666,3.1622115089311014,4.665,17.669,13.004000000000001,2,2012-02-13
48,8.2650625,1.895275137565643,5.297,12.36,7.063,2,2012-02-14
48,8.816458333333333,2.321020464844494,4.583,15.198,10.615,2,2012-02-15
48,8.461875000000001,1.5442129114721996,5.578,12.356,6.778,2,2012-02-16
48,8.536604166666667,2.3795491861577416,5.302,15.096,9.794,2,2012-02-17
48,9.121625,2.1744572971741802,5.333,13.911,8.578,2,2012-02-18
48,9.763916666666667,2.5699248588512935,4.718,15.655,10.937,2,2012-02-19
48,9.636645833333334,2.7675715485155,6.053,17.443,11.39,2,2012-02-20
48,8.884916666666667,2.0749188123910263,5.776,15.352,9.576,2,2012-02-21
48,8.366458333333332,2.0549867417735936,4.911,14.319,9.408000000000001,2,2012-02-22
48,8.144625,2.0925124430856044,4.771,13.578,8.806999999999999,2,2012-02-23
48,8.699333333333334,1.9339702778121997,5.202999999999999,13.929,8.726,2,2012-02-24
48,8.677541666666666,2.0359294908822285,4.715,12.355,7.640000000000001,2,2012-02-25
48,9.176916666666667,2.7805386959573686,4.615,15.217,10.602,2,2012-02-26
48,8.686541666666667,2.6074828651103283,4.455,14.181,9.725999999999999,2,2012-02-27
48,12.801458333333334,6.088568000449636,5.15,24.956,19.805999999999997,2,2012-02-28
48,9.140979166666666,1.7649999154913278,6.265000000000001,13.586,7.321,2,2012-02-29
48,11.222541666666666,5.012818992697233,5.4110000000000005,22.945,17.534,2,2012-03-01
48,8.538333333333332,1.9266049549615167,5.135,12.249,7.114000000000001,2,2012-03-02
48,8.50525,2.3024508542355933,4.128,15.143,11.015,2,2012-03-03
48,9.341395833333333,2.9137054184515945,4.574,16.048000000000002,11.474000000000002,2,2012-03-04
48,8.649541666666666,1.957999217159487,5.18,13.733,8.553,2,2012-03-05
48,7.790083333333333,2.137565724591961,4.632,12.447,7.8149999999999995,2,2012-03-06
48,8.267354166666665,2.2439202254715163,5.451,14.23,8.779,2,2012-03-07
48,8.227708333333334,2.1105178547570325,4.779,14.42,9.641,2,2012-03-08
48,7.928041666666666,1.6589410741761295,5.173,12.103,6.93,2,2012-03-09
48,9.1610625,2.4792218100131094,5.475,15.796,10.321,2,2012-03-10
48,8.808229166666667,2.138086709222169,5.257000000000001,13.097,7.839999999999999,2,2012-03-11
48,8.089812499999999,2.087964606533908,4.299,14.66,10.361,2,2012-03-12
48,8.368645833333334,2.3525516205210693,4.732,14.308,9.576,2,2012-03-13
48,8.347458333333334,2.147611993546016,4.617999999999999,14.238,9.620000000000001,2,2012-03-14
48,8.688791666666667,2.124663267020672,5.649,13.264,7.614999999999999,2,2012-03-15
48,8.400604166666666,1.9506634958456626,5.352,13.629,8.277,2,2012-03-16
48,8.931583333333334,1.862995047255706,5.749,13.841,8.091999999999999,2,2012-03-17
48,8.983708333333334,2.8703690470585923,4.165,14.278,10.113,2,2012-03-18
48,8.811875,2.7301790107703683,5.037,16.847,11.810000000000002,2,2012-03-19
48,8.144333333333334,2.3281131464546645,4.981,15.492,10.511000000000001,2,2012-03-20
48,8.604229166666666,2.4332851905819988,4.288,14.284,9.996,2,2012-03-21
48,8.0484375,2.5609961817267806,4.536,15.72,11.184000000000001,2,2012-03-22
48,7.797979166666667,2.4353440535438127,4.859999999999999,13.911,9.051,2,2012-03-23
48,8.3598125,2.212880376306054,4.687,12.542,7.8549999999999995,2,2012-03-24
48,8.623354166666667,3.0485335050597087,3.855,15.627,11.772,2,2012-03-25
48,8.397916666666667,2.652150246324295,4.64,14.7,10.059999999999999,2,2012-03-26
48,7.965229166666667,2.3579256862992803,4.371,12.519,8.148,2,2012-03-27
48,8.034770833333333,2.5509123210666225,4.042,13.244,9.202,2,2012-03-28
48,7.8235625,2.3212601851310137,4.523,13.526,9.003,2,2012-03-29
48,7.823583333333333,2.4512688319572016,4.459,13.157,8.698,2,2012-03-30
48,8.343874999999999,2.4536499397012093,4.059,12.223,8.164000000000001,2,2012-03-31
50,8.86326,2.473010276763846,4.92,15.718,10.798,2,2012-04-01
48,8.21675,2.5105158874774314,4.372,13.564,9.192,2,2012-04-02
48,8.1509375,2.7245561997089247,3.938,16.364,12.426,2,2012-04-03
48,8.048833333333333,2.76308960076288,4.08,15.511,11.431,2,2012-04-04
48,8.178895833333334,2.554517785527832,3.699,13.966,10.267,2,2012-04-05
48,8.903729166666666,2.9429564071610637,4.254,15.151,10.897,2,2012-04-06
48,8.2346875,2.659985251568856,4.4590000000000005,15.278,10.818999999999999,2,2012-04-07
48,8.7194375,2.6083242350519953,4.463,13.836,9.373000000000001,2,2012-04-08
48,8.702291666666666,3.175203776059663,3.776,17.989,14.213000000000001,2,2012-04-09
48,8.079666666666666,2.8692890240521436,4.111,13.837,9.725999999999999,2,2012-04-10
48,8.667270833333333,3.493749310445384,3.351,18.366,15.015,2,2012-04-11
48,7.704875,2.7934679554426807,3.816,13.582,9.766000000000002,2,2012-04-12
