epoch,split,component,mean,mean_abs,rms,std,min,max,share_abs,share_energy,dyn_mean,dyn_mean_abs,dyn_rms,dyn_std,share_dyn_abs
1,test,Ru_dev,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,test,Event_dev,-275.8920096561001,275.89504318866153,289.1122546873345,86.42623917718822,-542.5560038919448,7.899318790078162,0.4578673302184693,0.5427517870496857,1.222439115286194e-15,69.62140298509439,86.42623917718822,86.42623917718822,0.481987162047355
2,val,S_dev,67.28483808826273,81.54206746746475,98.91745892926032,72.50802882755929,-214.511574801445,306.72170876693724,0.13998843721605098,0.0686178316977698,6.941707833232315e-15,57.47124247808535,72.50802882755929,72.50802882755929,0.4279810290016274
2,val,Rw_dev,225.35621045262096,225.35621045262096,226.29216657912204,20.560230191005115,178.9509148364067,291.4184881448745,0.3868832946967066,0.3591121745259496,3.8506832131515104e-14,16.989646122814392,20.560230191005115,20.560230191005115,0.12651973259127378
2,val,Ru_dev,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,val,Event_dev,-275.59214294513714,275.5931698672538,285.66362538632296,75.184291017237,-530.5015745363235,2.6741051918007432,0.4731282680872407,0.5722699937762806,2.829073381090906e-14,59.82366745092093,75.184291017237,75.184291017237,0.4454992384070914
2,train,S_dev,73.18645132789408,85.56269486357833,103.94156725323971,73.80780951287976,-247.75580084419246,383.7816685671806,0.14790223247733342,0.07712960512754466,-7.36310209307321e-16,58.9061679405323,73.80780951287976,73.80780951287976,0.42719070197348336
2,train,Rw_dev,219.18070706673458,219.18070706673458,220.25228644998228,21.699938621372354,166.96579741764066,291.9223694639206,0.37887207670138084,0.3463246764778709,7.666288649846812e-15,17.97684545886198,21.699938621372354,21.699938621372354,0.13036905131212784
2,train,Ru_dev,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,train,Event_dev,-273.7644446439868,273.7650724207486,284.18135624834815,76.23694700025722,-577.5189006128311,6.360689307719468,0.47322569082128396,0.5765457183945845,-3.655563627384582e-14,61.0089577235828,76.23694700025722,76.23694700025722,0.4424402467143816
2,test,S_dev,72.54597536056625,84.00570716247978,101.94062098169199,71.6168392566797,-168.06908817005154,346.5428292646408,0.1478430260425968,0.0770552269362327,-4.889756461144776e-15,57.26094538223907,71.6168392566797,71.6168392566797,0.4314626442225386
2,test,Rw_dev,215.20528779374655,215.20528779374655,216.1550626176178,20.240928853118543,168.06058695411681,272.4978281526565,0.37874332640587477,0.3464482545208204,-1.6415610976700317e-14,16.8855902534371,20.240928853118543,20.24092885311854,0.1272333415275061
2,test,Ru_dev,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,test,Event_dev,-268.9977965648275,268.9977965648275,278.83325422567805,73.40414910173163,-555.6381958560943,-19.18860032096505,0.4734136475515266,0.5764965185429469,-6.286829735757569e-15,58.56702867628952,73.40414910173163,73.40414910173163,0.44130401424994786
3,val,S_dev,92.17703556692837,95.43968294449579,110.03410778405205,60.09075627686514,-158.2446923730373,317.641618915081,0.15430906482988613,0.07744140975291927,7.771220090033662e-15,48.00318738626268,60.09075627686514,60.09075627686514,0.41303382781142506
3,val,Rw_dev,223.60743802180016,223.60743802180016,224.58519711830883,20.93381059426155,177.80435633468625,315.18896897792814,0.3615336261145937,0.3226122491390096,2.0388538101380447e-14,16.799147453753825,20.93381059426155,20.93381059426155,0.14454490534055986
3,val,Ru_dev,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,val,Event_dev,-299.44980952648183,299.44980952648183,306.26467366871253,64.24843898459113,-543.4381156101226,-48.23224135679006,0.48415730905551846,0.5999463411080712,8.382439647676758e-15,51.418623720740015,64.24843898459113,64.24843898459113,0.4424212668480066
3,train,S_dev,100.31901764551769,102.77590905386188,117.2692367868565,60.730293883778664,-145.94910858273505,354.4064540042877,0.1645674472789267,0.08709641347349542,8.056099937127159e-15,48.39966932269995,60.730293883778664,60.73029388377866,0.4105538260485887
