round,selected_clients,avg_local_train_loss,avg_local_val_loss,avg_local_train_task_loss,avg_local_train_rc_loss,avg_local_train_weighted_rc_loss,avg_local_train_total_loss,avg_local_train_rc_to_task_ratio,round_rc_to_task_ratio,global_rc_norm,avg_client_rc_rg_l2_norm,min_client_rc_rg_l2_norm,max_client_rc_rg_l2_norm,avg_personalized_head_ratio,avg_num_personalized_head_params,avg_num_head_params,avg_head_importance_mean,regional_val_loss,regional_val_MAE,regional_val_MSE,regional_val_RMSE,regional_val_MAPE_percent,regional_val_R2,avg_client_val_MAE,avg_client_val_MSE,avg_client_val_RMSE,avg_client_val_R2,regional_val_samples
11,9,0.0009446229896764387,0.0007785304582667962,0.0009446229896764387,3.173002887941597e-05,3.173002887941597e-05,0.0009763530188798713,0.034024886800880755,0.03359015098361548,1.1742528676986694,0.015365768017040359,0.005100231617689133,0.025441136211156845,0.0,0.0,353.0,0.0,0.0007630295483900894,3.502790927886963,23.16472816467285,4.812974980682203,4.553709924221039,0.9735155701637268,0.9059234725104438,1.4989444017410278,1.2055281451183733,0.8822943170865377,5211
12,9,0.0009329202218071551,0.000751524811944011,0.0009329202218071551,3.067502360755879e-05,3.067502360755879e-05,0.0009635952456126455,0.03295250347755121,0.03288065030390027,1.175904631614685,0.013754846424692206,0.00588012021034956,0.022113388404250145,0.0,0.0,353.0,0.0,0.0007539019984477991,3.4792728424072266,22.67926025390625,4.762274693243372,4.538670554757118,0.9740706086158752,0.9105732242266337,1.4872943030463324,1.1999464495462744,0.884131027592553,5211
13,9,0.0009160018464157396,0.000756480596349944,0.0009160018464157396,2.8208368195532824e-05,2.8208368195532824e-05,0.0009442102147917069,0.031170023505234748,0.030795099677053468,1.1742675304412842,0.01370292477723625,0.009174100123345852,0.028811661526560783,0.0,0.0,353.0,0.0,0.0007530600850787209,3.604367256164551,23.963804244995117,4.895283877876248,4.703695327043533,0.9726019501686096,0.9129442705048455,1.4901363253593445,1.2003227021570668,0.8843084441290961,5211
14,9,0.0009093499527840872,0.0008027890851315636,0.0009093499527840872,2.7587746157997113e-05,2.7587746157997113e-05,0.0009369376979128107,0.031160338479312044,0.03033787602143261,1.1732195615768433,0.012388014803744025,0.005715231876820326,0.023201504722237587,0.0,0.0,353.0,0.0,0.0007586305008179036,3.738787889480591,24.495676040649414,4.949310663178198,5.013683065772057,0.9719938635826111,0.9255248705546061,1.5060806738005743,1.2055366668854848,0.8842872182528178,5211
15,9,0.0008945097438911827,0.0008066483669223771,0.0008945097438911827,2.5868751195768265e-05,2.5868751195768265e-05,0.0009203784941308364,0.029909106880164286,0.028919473872154634,1.1736727952957153,0.016232253931876685,0.007690662983804941,0.027141982689499855,0.0,0.0,353.0,0.0,0.000738826082807833,3.416928291320801,21.486528396606445,4.635356339765741,4.462748020887375,0.9754342436790466,0.894041485256619,1.450533734427558,1.1861337385548776,0.8861734800868564,5211
16,9,0.0008990757702365253,0.0007493315354615298,0.0008990757702365253,2.5895073201726648e-05,2.5895073201726648e-05,0.0009249708427118893,0.02938327432283835,0.028801880809347574,1.1742770671844482,0.01225344060609738,0.00549167487770319,0.018529927358031273,0.0,0.0,353.0,0.0,0.0007348709943962342,3.399867057800293,21.104198455810547,4.593930610687383,4.425361752510071,0.9758713841438293,0.8939868476655748,1.4448645247353449,1.183480849326354,0.8870029780599806,5211
17,9,0.0008876414422793894,0.0007435292860656257,0.0008876414422793894,2.5111454407593243e-05,2.5111454407593243e-05,0.0009127528963372351,0.02885194284141383,0.02829008784765505,1.1734340190887451,0.011151920952316787,0.00727014010772109,0.027128662914037704,0.0,0.0,353.0,0.0,0.0007438535093359912,3.732208490371704,24.603378295898438,4.960179260460094,4.98763807117939,0.9718707203865051,0.9150238898065355,1.4720789591471355,1.1930129456676302,0.8861662480566237,5211
18,9,0.0008813686842387859,0.0008202619670009209,0.0008813686842387859,2.404001251448782e-05,2.404001251448782e-05,0.0009054086964383544,0.02834721139303849,0.027275773370567108,1.1721088886260986,0.015269672860287957,0.006035581696778536,0.032127201557159424,0.0,0.0,353.0,0.0,0.0007273666757325217,3.4640116691589355,21.327314376831055,4.618150536397775,4.575369879603386,0.9756162762641907,0.8944036629464891,1.430075208346049,1.1775464207541766,0.8882907960149977,5211
19,9,0.0008742073868123182,0.0006882746485978194,0.0008742073868123182,2.370557494679367e-05,2.370557494679367e-05,0.0008979129621844071,0.027828229555861575,0.027116649066666287,1.1705297231674194,0.00921446592029598,0.005241043400019407,0.012788224034011364,0.0,0.0,353.0,0.0,0.0007188413404342717,3.3475022315979004,20.62108612060547,4.541044606762354,4.371031001210213,0.9764237403869629,0.8824691706233554,1.4075658718744914,1.169324678990809,0.8889505796962314,5211
20,9,0.0008661854530417827,0.0007103825435395704,0.0008661854530417827,2.1882198240190124e-05,2.1882198240190124e-05,0.0008880676505160298,0.026047607547990386,0.0252627172830988,1.1696962118148804,0.011334812527315484,0.006626020185649395,0.019453302025794983,0.0,0.0,353.0,0.0,0.0007495455030984227,4.0097246170043945,26.099279403686523,5.108745384503569,5.52712045609951,0.9701604843139648,0.9281448456976149,1.4884615739186604,1.1984165822846735,0.8857875135209825,5211
