round,direction,receiver_id,selected_sender_id,receiver_local_update_executed,receiver_local_train_loss,receiver_local_val_loss,sender_local_train_loss,sender_local_val_loss,sender_id,val_loss_receiver_loc,val_loss_receiver_trans,val_loss_sender_copy_trans,val_loss_merged,accept_merge,rollback_to_local,rollback_reason,receiver_transfer_loss_avg,sender_copy_transfer_loss_avg,receiver_pred_loss_avg,sender_copy_pred_loss_avg,receiver_active_ratio_avg,sender_copy_active_ratio_avg,w_receiver,w_sender
11,Client1 -> Client2,2,1,False,,0.023966449041386364,0.0009697061596569866,0.000987759484504043,1,0.023966449041386364,0.0008761595028149283,0.000856765557432233,0.0011086747204612157,True,False,,0.0029100948090808342,0.00023172794134730502,0.0024905998615103973,0.0011084597505261458,0.3297717916485504,0.47916617092484737,1141.331667887587,1167.166816706364
12,Client3 -> Client2,2,3,False,,0.0011086747204612157,0.0012449949888936433,0.0008345155595832868,3,0.0011086747204612157,0.0011072114193411673,0.0007940311465233478,0.010120878028078388,True,False,,0.00043396181026485056,0.0002816999980095459,0.0011241682780631702,0.0010559530120793728,0.4009946933871598,0.4445898674585017,903.1617186335073,1259.3805804377118
13,Client5 -> Client2,2,5,False,,0.010120878028078388,0.0007903504629046615,0.0008250514127882785,5,0.010120878028078388,0.0008349599514048096,0.0007921519351007377,0.00823861890747883,True,False,,0.0012595595108558617,0.00025961012642524464,0.0017442945052010255,0.0011097442445768765,0.49508602432497956,0.5082454846396801,1197.6478893851602,1262.3681544011981
14,Client5 -> Client2,2,5,False,,0.00823861890747883,0.0006909100467869966,0.0007438353328343472,5,0.00823861890747883,0.000813740273253791,0.0008796743226673321,0.0009154242825680263,True,False,,0.002046885010531406,0.0002519101160580923,0.0022966083315340237,0.0010368214972510297,0.5238559836329776,0.47250315304020696,1228.878235581399,1136.7714238305998
15,Client1 -> Client2,2,1,False,,0.0009154242825680263,0.0008540150341369171,0.0007034417674174817,1,0.0009154242825680263,0.0007659065629654701,0.0007975361104816916,0.025914856283638623,True,False,,0.0004814297115057512,0.0002554418403796411,0.0010432267531128964,0.0010663878996106208,0.3680365514229597,0.5228565309508844,1305.625244776281,1253.8459994445122
16,Client5 -> Client2,2,5,False,,0.025914856283638623,0.0006644525488678121,0.0007909853472138466,5,0.025914856283638623,0.0011316211947324472,0.0007185212692383993,0.007899850707092256,True,False,,0.0023619042682401425,0.00029408971284936416,0.002830315191790547,0.0010341899935358337,0.5648573400550291,0.4331675511093501,883.6801288748771,1391.7278799292073
17,Client8 -> Client2,2,8,False,,0.007899850707092256,0.0018336793490634617,0.0010103329537294104,8,0.007899850707092256,0.000816809620538977,0.0009110380285411482,0.025287557947351984,True,False,,0.0004687503945754567,0.00039617204801496443,0.001251183440724123,0.0012844790256273326,0.4497537063114919,0.5705209052313363,1224.2605036105176,1097.636972664646
18,Client5 -> Client2,2,5,False,,0.025287557947351984,0.000646857252849444,0.0008246619380294124,5,0.025287557947351984,0.0011688869790914156,0.000765015344882791,0.0042560279031658215,True,False,,0.004567535626556737,0.0005112119933779536,0.00409259392379126,0.0010191409672490718,0.5364205316228596,0.3541156033692842,855.5073867821103,1307.146235989357
19,Client9 -> Client2,2,9,False,,0.0042560279031658215,0.002232442633193183,0.001388743174022142,9,0.0042560279031658215,0.0012426553548965478,0.0013103169463842077,0.010189419628373494,True,False,,0.0005900192489057835,0.0005127585285584332,0.0011301716550877442,0.0012602579280004437,0.34019465531986387,0.46293696309660465,804.7218795145781,763.168309069319
20,Client6 -> Client2,2,6,False,,0.010189419628373494,0.0019198953592044995,0.0014906237440950835,6,0.010189419628373494,0.0008968032125420789,0.0009509792501780463,0.00992644899016283,True,False,,0.0022842501878214024,0.00033937798814630965,0.00274767106143504,0.0013162097290787768,0.5051519406117561,0.5467006163532656,1115.0593970013342,1051.5365970885348
21,Client1 -> Client2,2,1,False,,0.00992644899016283,0.0007695006004082907,0.000668568667380255,1,0.00992644899016283,0.0009312914568513369,0.0007343217387430944,0.02622839130033712,True,False,,0.002045651491241687,0.0002536471318384127,0.00210300101192855,0.001027845536834189,0.4445660709689414,0.45210955905312344,1073.7661716764921,1361.7823488218442
22,Client4 -> Client2,2,4,False,,0.02622839130033712,0.0012943172166377855,0.0012607362568909253,4,0.02622839130033712,0.0008348793559671957,0.0008338934575054545,0.021328005147266814,True,False,,0.00187513631471105,0.00030085584649699825,0.0022986640090330943,0.0012004753632256524,0.4477310044620003,0.5229755134128694,1197.763503454333,1199.1795824799767
23,Client8 -> Client2,2,8,False,,0.021328005147266814,0.0012763377450570397,0.0008895664121853762,8,0.021328005147266814,0.000959589793063994,0.0008616725518823927,0.02957015138386113,True,False,,0.00235370641872988,0.0004570241553581498,0.002687738001180272,0.0012710818670172528,0.5663327225808076,0.4926111891128527,1042.1011000919543,1160.5201913575308
24,Client7 -> Client2,2,7,False,,0.02957015138386113,0.002876877521792382,0.001052885022805405,7,0.02957015138386113,0.001065680970068048,0.0008606074926326514,0.019614063268568495,True,False,,0.002925121219457796,0.00030143590887458,0.0035581930199694366,0.0011767264656219064,0.4869476239294536,0.46864812128961936,938.3583309673221,1161.9563959140244
25,Client6 -> Client2,2,6,False,,0.019614063268568495,0.0016737030489658712,0.001171501148611842,6,0.019614063268568495,0.0008802298646479398,0.0013157334453248472,0.024654812385572784,True,False,,0.0016899764962145585,0.0002512776941019981,0.002373245231860765,0.0011989462188772434,0.5152654498833267,0.5220236537361368,1136.0539781959992,760.0265869104197
26,Client4 -> Client2,2,4,False,,0.024654812385572784,0.0011238155485015337,0.0008553759872335551,4,0.024654812385572784,0.0009356894301211436,0.0008098255064967727,0.014979509417109894,True,False,,0.0033730063829417703,0.0002662798473999839,0.003591786847000988,0.0011003284445864558,0.6034552507201599,0.4611998191530405,1068.7192572838603,1234.8186662324185
27,Client5 -> Client2,2,5,False,,0.014979509417109894,0.0006155691203393698,0.0007357601426448244,5,0.014979509417109894,0.0008768132512173143,0.0007133595195605692,0.012016919302921925,True,False,,0.002506554410702521,0.0003249142898561216,0.0025109666444838165,0.000988978361012464,0.516217309573534,0.4192941960461422,1140.4807053322052,1401.798047968174
28,Client7 -> Client2,2,7,False,,0.012016919302921925,0.000999688398993613,0.0007960010595672223,7,0.012016919302921925,0.0009027764270106422,0.0008080823273383506,0.013845837712030542,True,False,,0.001514347140047246,0.00022417795094531543,0.001930605053041147,0.0010600342683037018,0.4336434809615457,0.5108393022918073,1107.6816953387934,1237.4823595884695
29,Client3 -> Client2,2,3,False,,0.013845837712030542,0.0012309057596356467,0.0008117417189242747,3,0.013845837712030542,0.0009333300455298216,0.0008746980541193404,0.00615328386946233,True,False,,0.001423684513175561,0.00022236925727994877,0.0020363560622104824,0.0010198526487564758,0.4908026556963526,0.4772386550300508,1071.4208661563837,1143.2385871955917
30,Client3 -> Client2,2,3,False,,0.00615328386946233,0.0011962138740275804,0.0008159362699797531,3,0.00615328386946233,0.0009594610469892794,0.0010684880443453336,0.0011051899657425306,True,False,,0.0011977685054902023,0.0002134246283932615,0.0018997367590655977,0.0010150262310511134,0.49608547700990957,0.4627703876718104,1042.2409338331743,935.893149540295
31,Client8 -> Client2,2,8,False,,0.0011051899657425306,0.0011550703968106358,0.0008783333667117342,8,0.0011051899657425306,0.0008473939035263686,0.0009733884788533475,0.01604140391317737,True,False,,0.00029296122228535283,0.0002629274214466529,0.0010422658684639517,0.0011073493254319792,0.44730266759318044,0.5368250720056652,1180.074809472344,1027.3285008396444
32,Client3 -> Client2,2,3,False,,0.01604140391317737,0.0011701425500317598,0.0008482770012158845,3,0.01604140391317737,0.0016961945048584316,0.0008279530944420992,0.0023878443416455023,True,False,,0.0034509777958057998,0.0007592897997100114,0.004032987399857103,0.001052982450095406,0.612140970428761,0.3027389762855349,589.5515529735384,1207.783301831615
33,Client7 -> Client2,2,7,False,,0.0023878443416455023,0.0008789940930170852,0.0006975185515033233,7,0.0023878443416455023,0.0007312238249005819,0.0007349487693823149,0.009389789605674423,True,False,,0.00045586075007449117,0.00028780172474689555,0.001050776485698774,0.0010111962715160059,0.4018989601039201,0.443185874427644,1367.5516174815345,1360.6205431638498
34,Client7 -> Client2,2,7,False,,0.009389789605674423,0.0008447301740395392,0.0007584580575760988,7,0.009389789605674423,0.0008911831340666934,0.001118129541095442,0.001765093954135343,True,False,,0.0013363471226166997,0.0001830068961605297,0.0020826817428604926,0.0009736236009612687,0.5711634105374028,0.45698784001507925,1122.0912300309126,894.3427570947894
35,Client6 -> Client2,2,6,False,,0.001765093954135343,0.001467297186460372,0.0012679573006315306,6,0.001765093954135343,0.0007592334919699384,0.0010255479199519247,0.019210641158698583,True,False,,0.0003026930438048385,0.0002917823423688889,0.0010430845406081387,0.0011707319890657583,0.43635628111111746,0.5510077814742895,1317.100522528541,975.0790087476262
36,Client1 -> Client2,2,1,False,,0.019210641158698583,0.0007465736257391763,0.0006434897635107232,1,0.019210641158698583,0.0008131771865505471,0.0008755762932843198,0.017177372039360966,True,False,,0.003233951860740778,0.0002626064583153087,0.0030934007700084533,0.0010199352876075392,0.5336363420124082,0.46924303357897834,1229.729165116205,1142.0918847975622
37,Client9 -> Client2,2,9,False,,0.017177372039360966,0.0010087308794849274,0.0007575384811644777,9,0.017177372039360966,0.0009493732008405854,0.000847478570227392,0.012267931544360806,True,False,,0.001480680064924871,0.000481444804446249,0.002077166447641282,0.0011972514811897344,0.4576065488067639,0.4282178806936066,1053.3154569351957,1179.9569163884855
38,Client3 -> Client2,2,3,False,,0.012267931544360806,0.0011749408802808783,0.0008118562813413247,3,0.012267931544360806,0.0010136125249577451,0.0008008526768170782,0.006686326297056527,True,False,,0.0013228087296545728,0.00026601156155525317,0.002116684343136793,0.000998023385091158,0.5296147347902198,0.44808795183944533,986.5605542277062,1248.6535194452642
39,Client8 -> Client2,2,8,False,,0.006686326297056527,0.0011252087744780873,0.0008308667984744275,8,0.006686326297056527,0.0008245061426111619,0.0008064133068957715,0.018285989169245134,True,False,,0.0011259606571626683,0.0002034381887496396,0.0017192539665937775,0.0010527986328785985,0.5215239274000545,0.5100778145308474,1212.8325308866577,1240.0435248447598
40,Client3 -> Client2,2,3,False,,0.018285989169245134,0.0011344708927912347,0.0009774605218947328,3,0.018285989169245134,0.0009315934333818205,0.0008741053818728446,0.005043100710973255,True,False,,0.0032676723232363423,0.00026531496278195675,0.0032850444468525562,0.0009868483201148635,0.5108868952985862,0.45820146110676074,1073.418113509836,1144.013731754085
